3,Date,MaximumTemp,MinimumTemp,AverageTemp,Departure,HDD,CDD,Precipitation,NewSnow
4,2014-01-01,65,35,50.0,3.7,15,0,0.00,0.0
5,2014-01-02,66,37,51.5,5.1,13,0,0.00,0.0
6,2014-01-03,66,38,52.0,5.6,13,0,0.00,0.0
7,2014-01-04,65,37,51.0,4.6,14,0,0.00,0.0
8,2014-01-05,65,36,50.5,4.0,14,0,0.00,0.0
9,2014-01-06,61,37,49.0,2.5,16,0,0.00,0.0
10,2014-01-07,65,40,52.5,5.9,12,0,0.00,0.0
11,2014-01-08,57,38,47.5,0.9,17,0,0.00,0.0
12,2014-01-09,62,42,52.0,5.3,13,0,0.00,0.0
13,2014-01-10,62,39,50.5,3.7,14,0,0.00,0.0
14,2014-01-11,58,44,51.0,4.2,14,0,0.00,0.0
15,2014-01-12,60,39,49.5,2.6,15,0,0.00,0.0
16,2014-01-13,64,37,50.5,3.5,14,0,0.00,0.0
17,2014-01-14,66,35,50.5,3.4,14,0,0.00,0.0
18,2014-01-15,69,38,53.5,6.3,11,0,0.00,0.0
19,2014-01-16,71,36,53.5,6.2,11,0,0.00,0.0
20,2014-01-17,69,36,52.5,5.1,12,0,0.00,0.0
21,2014-01-18,70,35,52.5,4.9,12,0,0.00,0.0
22,2014-01-19,69,35,52.0,4.3,13,0,0.00,0.0
23,2014-01-20,71,36,53.5,5.7,11,0,0.00,0.0
24,2014-01-21,68,35,51.5,3.6,13,0,0.00,0.0
25,2014-01-22,68,35,51.5,3.4,13,0,0.00,0.0
26,2014-01-23,71,38,54.5,6.3,10,0,0.00,0.0
27,2014-01-24,79,44,61.5,13.1,3,0,0.00,0.0
28,2014-01-25,74,42,58.0,9.4,7,0,0.00,0.0
29,2014-01-26,65,41,53.0,4.3,12,0,0.00,0.0
30,2014-01-27,65,39,52.0,3.1,13,0,0.00,0.0
31,2014-01-28,70,50,60.0,10.9,5,0,0.00,0.0
32,2014-01-29,64,51,57.5,8.3,7,0,0.07,0.0
33,2014-01-30,65,49,57.0,7.6,8,0,0.11,0.0
34,2014-01-31,60,42,51.0,1.4,14,0,0.02,0.0
