3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2017-12-01,64,41,52.5,2.8,12,0,0.00
5,2017-12-02,61,41,51.0,1.6,14,0,0.00
6,2017-12-03,59,44,51.5,2.3,13,0,0.03
7,2017-12-04,62,42,52.0,3.0,13,0,0.00
8,2017-12-05,63,43,53.0,4.2,12,0,0.00
9,2017-12-06,63,37,50.0,1.5,15,0,0.00
10,2017-12-07,64,36,50.0,1.7,15,0,0.00
11,2017-12-08,61,39,50.0,1.8,15,0,0.00
12,2017-12-09,62,36,49.0,1.0,16,0,0.00
13,2017-12-10,63,36,49.5,1.7,15,0,0.00
14,2017-12-11,62,36,49.0,1.4,16,0,0.00
15,2017-12-12,64,35,49.5,2.0,15,0,0.00
16,2017-12-13,61,35,48.0,0.6,17,0,0.00
17,2017-12-14,65,36,50.5,3.3,14,0,0.00
18,2017-12-15,61,38,49.5,2.4,15,0,0.00
19,2017-12-16,61,42,51.5,4.5,13,0,0.00
20,2017-12-17,62,44,53.0,6.1,12,0,0.00
21,2017-12-18,61,39,50.0,3.2,15,0,0.00
22,2017-12-19,59,36,47.5,0.8,17,0,0.00
23,2017-12-20,56,41,48.5,1.9,16,0,0.10
24,2017-12-21,56,38,47.0,0.4,18,0,0.00
25,2017-12-22,53,34,43.5,-3.0,21,0,0.00
26,2017-12-23,55,40,47.5,1.1,17,0,0.00
27,2017-12-24,54,42,48.0,1.6,17,0,0.00
28,2017-12-25,60,39,49.5,3.1,15,0,0.00
29,2017-12-26,63,37,50.0,3.7,15,0,0.00
30,2017-12-27,60,37,48.5,2.2,16,0,0.00
31,2017-12-28,63,37,50.0,3.7,15,0,0.00
32,2017-12-29,63,36,49.5,3.2,15,0,0.00
33,2017-12-30,61,37,49.0,2.7,16,0,0.00
34,2017-12-31,59,38,48.5,2.2,16,0,0.00
