3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2016-07-01,98,66,82.0,6.0,0,17,0.00,0.0,0
5,2016-07-02,93,63,78.0,1.9,0,13,0.00,0.0,0
6,2016-07-03,93,60,76.5,0.3,0,12,0.00,0.0,0
7,2016-07-04,89,58,73.5,-2.9,0,9,0.00,0.0,0
8,2016-07-05,87,57,72.0,-4.5,0,7,0.00,0.0,0
9,2016-07-06,88,57,72.5,-4.1,0,8,0.00,0.0,0
10,2016-07-07,87,57,72.0,-4.7,0,7,0.00,0.0,0
11,2016-07-08,91,57,74.0,-2.8,0,9,0.00,0.0,0
12,2016-07-09,86,61,73.5,-3.4,0,9,0.00,0.0,0
13,2016-07-10,88,56,72.0,-5.0,0,7,0.00,0.0,0
14,2016-07-11,95,62,78.5,1.4,0,14,0.00,0.0,0
15,2016-07-12,95,61,78.0,0.8,0,13,0.00,0.0,0
16,2016-07-13,101,62,81.5,4.3,0,17,0.00,0.0,0
17,2016-07-14,105,67,86.0,8.7,0,21,0.00,0.0,0
18,2016-07-15,100,63,81.5,4.2,0,17,0.00,0.0,0
19,2016-07-16,93,59,76.0,-1.4,0,11,0.00,0.0,0
20,2016-07-17,88,57,72.5,-4.9,0,8,0.00,0.0,0
21,2016-07-18,85,57,71.0,-6.4,0,6,0.00,0.0,0
22,2016-07-19,90,58,74.0,-3.5,0,9,0.00,0.0,0
23,2016-07-20,95,60,77.5,0.0,0,13,0.00,0.0,0
24,2016-07-21,92,59,75.5,-2.0,0,11,0.00,0.0,0
25,2016-07-22,99,60,79.5,2.0,0,15,0.00,0.0,0
26,2016-07-23,104,62,83.0,5.5,0,18,0.00,0.0,0
27,2016-07-24,106,68,87.0,9.5,0,22,0.00,0.0,0
28,2016-07-25,103,62,82.5,5.0,0,18,0.00,0.0,0
29,2016-07-26,108,63,85.5,8.1,0,21,0.00,0.0,0
30,2016-07-27,107,72,89.5,12.1,0,25,0.00,0.0,0
31,2016-07-28,105,69,87.0,9.6,0,22,0.00,0.0,0
32,2016-07-29,106,67,86.5,9.2,0,22,0.00,0.0,0
33,2016-07-30,102,69,85.5,8.2,0,21,0.00,0.0,0
34,2016-07-31,96,61,78.5,1.2,0,14,0.00,0.0,0
