3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-02-01,67,42,54.5,4.7,10,0,0.00
5,2015-02-02,67,45,56.0,6.0,9,0,0.00
6,2015-02-03,69,48,58.5,8.3,6,0,0.00
7,2015-02-04,68,46,57.0,6.6,8,0,0.00
8,2015-02-05,59,48,53.5,2.9,11,0,0.00
9,2015-02-06,63,53,58.0,7.2,7,0,1.07
10,2015-02-07,67,57,62.0,11.0,3,0,0.07
11,2015-02-08,64,58,61.0,9.8,4,0,1.07
12,2015-02-09,69,50,59.5,8.1,5,0,0.07
13,2015-02-10,61,47,54.0,2.4,11,0,0.00
14,2015-02-11,68,42,55.0,3.2,10,0,0.00
15,2015-02-12,73,47,60.0,8.0,5,0,0.00
16,2015-02-13,77,47,62.0,9.8,3,0,0.00
17,2015-02-14,74,49,61.5,9.1,3,0,0.00
18,2015-02-15,72,46,59.0,6.4,6,0,0.00
19,2015-02-16,73,49,61.0,8.2,4,0,0.00
20,2015-02-17,69,50,59.5,6.5,5,0,0.00
21,2015-02-18,64,47,55.5,2.3,9,0,0.00
22,2015-02-19,63,49,56.0,2.6,9,0,0.00
23,2015-02-20,64,49,56.5,2.9,8,0,0.00
24,2015-02-21,57,47,52.0,-1.8,13,0,0.00
25,2015-02-22,68,44,56.0,2.1,9,0,0.00
26,2015-02-23,65,46,55.5,1.4,9,0,0.00
27,2015-02-24,68,38,53.0,-1.3,12,0,0.00
28,2015-02-25,68,39,53.5,-1.0,11,0,0.00
29,2015-02-26,74,43,58.5,3.9,6,0,0.00
30,2015-02-27,68,45,56.5,1.7,8,0,0.00
31,2015-02-28,60,46,53.0,-1.9,12,0,0.00
