3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2016-01-01,48,33,40.5,-5.8,24,0,0.00
5,2016-01-02,49,36,42.5,-3.9,22,0,0.00
6,2016-01-03,56,37,46.5,0.1,18,0,0.01
7,2016-01-04,54,40,47.0,0.6,18,0,0.11
8,2016-01-05,54,47,50.5,4.0,14,0,1.19
9,2016-01-06,52,45,48.5,2.0,16,0,0.65
10,2016-01-07,53,39,46.0,-0.6,19,0,0.04
11,2016-01-08,54,36,45.0,-1.6,20,0,0.03
12,2016-01-09,53,45,49.0,2.3,16,0,0.05
13,2016-01-10,58,45,51.5,4.7,13,0,0.09
14,2016-01-11,60,44,52.0,5.2,13,0,0.00
15,2016-01-12,60,40,50.0,3.1,15,0,0.00
16,2016-01-13,62,45,53.5,6.5,11,0,0.23
17,2016-01-14,54,41,47.5,0.4,17,0,0.06
18,2016-01-15,54,44,49.0,1.8,16,0,0.15
19,2016-01-16,60,48,54.0,6.7,11,0,0.15
20,2016-01-17,57,52,54.5,7.1,10,0,0.58
21,2016-01-18,64,52,58.0,10.4,7,0,0.69
22,2016-01-19,59,53,56.0,8.3,9,0,0.88
23,2016-01-20,61,47,54.0,6.2,11,0,0.00
24,2016-01-21,65,49,57.0,9.1,8,0,0.00
25,2016-01-22,59,53,56.0,7.9,9,0,0.37
26,2016-01-23,60,47,53.5,5.3,11,0,0.16
27,2016-01-24,61,42,51.5,3.1,13,0,0.00
28,2016-01-25,60,45,52.5,3.9,12,0,0.01
29,2016-01-26,60,41,50.5,1.8,14,0,0.00
30,2016-01-27,64,45,54.5,5.6,10,0,0.00
31,2016-01-28,58,43,50.5,1.4,14,0,0.00
32,2016-01-29,59,54,56.5,7.3,8,0,0.32
33,2016-01-30,60,49,54.5,5.1,10,0,0.02
34,2016-01-31,56,46,51.0,1.4,14,0,0.00
