3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2017-11-01,70,49,59.5,-0.3,5,0,0.00
5,2017-11-02,64,50,57.0,-2.4,8,0,0.00
6,2017-11-03,67,57,62.0,2.9,3,0,0.00
7,2017-11-04,66,50,58.0,-0.7,7,0,0.14
8,2017-11-05,63,43,53.0,-5.3,12,0,0.00
9,2017-11-06,66,43,54.5,-3.4,10,0,0.00
10,2017-11-07,66,42,54.0,-3.6,11,0,0.00
11,2017-11-08,65,47,56.0,-1.2,9,0,0.12
12,2017-11-09,67,56,61.5,4.7,3,0,0.17
13,2017-11-10,68,53,60.5,4.1,4,0,0.03
14,2017-11-11,67,48,57.5,1.4,7,0,0.01
15,2017-11-12,67,47,57.0,1.3,8,0,0.00
16,2017-11-13,70,51,60.5,5.2,4,0,0.01
17,2017-11-14,66,52,59.0,4.0,6,0,0.00
18,2017-11-15,59,52,55.5,0.9,9,0,0.54
19,2017-11-16,58,55,56.5,2.2,8,0,0.97
20,2017-11-17,61,47,54.0,0.1,11,0,0.13
21,2017-11-18,62,39,50.5,-3.1,14,0,0.00
22,2017-11-19,63,41,52.0,-1.2,13,0,0.00
23,2017-11-20,62,53,57.5,4.6,7,0,0.00
24,2017-11-21,65,51,58.0,5.4,7,0,0.00
25,2017-11-22,67,50,58.5,6.2,6,0,0.00
26,2017-11-23,63,53,58.0,6.1,7,0,0.00
27,2017-11-24,72,53,62.5,10.9,2,0,0.00
28,2017-11-25,68,54,61.0,9.7,4,0,0.00
29,2017-11-26,61,55,58.0,7.0,7,0,0.22
30,2017-11-27,60,46,53.0,2.3,12,0,0.11
31,2017-11-28,64,42,53.0,2.5,12,0,0.00
32,2017-11-29,60,40,50.0,-0.2,15,0,0.00
33,2017-11-30,64,41,52.5,2.6,12,0,0.00
