3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-10-01,85,61,73.0,3.0,0,8,0.00,0.0,0
5,2018-10-02,85,65,75.0,5.3,0,10,0.00,0.0,0
6,2018-10-03,84,64,74.0,4.5,0,9,0.02,0.0,0
7,2018-10-04,77,59,68.0,-1.2,0,3,0.02,0.0,0
8,2018-10-05,78,55,66.5,-2.4,0,2,0.00,0.0,0
9,2018-10-06,79,59,69.0,0.4,0,4,0.00,0.0,0
10,2018-10-07,80,57,68.5,0.2,0,4,0.00,0.0,0
11,2018-10-08,83,57,70.0,2.0,0,5,0.00,0.0,0
12,2018-10-09,85,56,70.5,2.8,0,6,0.00,0.0,0
13,2018-10-10,80,53,66.5,-0.9,0,2,0.00,0.0,0
14,2018-10-11,76,53,64.5,-2.6,0,0,0.00,0.0,0
15,2018-10-12,85,53,69.0,2.2,0,4,0.00,0.0,0
16,2018-10-13,84,51,67.5,1.0,0,3,0.00,0.0,0
17,2018-10-14,82,49,65.5,-0.7,0,1,0.00,0.0,0
18,2018-10-15,82,51,66.5,0.7,0,2,0.00,0.0,0
19,2018-10-16,82,47,64.5,-1.0,0,0,0.00,0.0,0
20,2018-10-17,82,49,65.5,0.3,0,1,0.00,0.0,0
21,2018-10-18,81,50,65.5,0.7,0,1,0.00,0.0,0
22,2018-10-19,83,49,66.0,1.5,0,1,0.00,0.0,0
23,2018-10-20,84,51,67.5,3.4,0,3,0.00,0.0,0
24,2018-10-21,83,50,66.5,2.7,0,2,0.00,0.0,0
25,2018-10-22,80,51,65.5,2.1,0,1,0.00,0.0,0
26,2018-10-23,73,49,61.0,-2.1,4,0,0.00,0.0,0
27,2018-10-24,79,48,63.5,0.8,1,0,0.00,0.0,0
28,2018-10-25,82,50,66.0,3.6,0,1,0.00,0.0,0
29,2018-10-26,82,54,68.0,6.0,0,3,0.00,0.0,0
30,2018-10-27,83,55,69.0,7.4,0,4,0.00,0.0,0
31,2018-10-28,82,55,68.5,7.2,0,4,0.00,0.0,0
32,2018-10-29,73,51,62.0,1.1,3,0,0.00,0.0,0
33,2018-10-30,75,50,62.5,2.0,2,0,0.00,0.0,0
34,2018-10-31,77,47,62.0,1.8,3,0,0.00,0.0,0
