3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2017-08-01,104,65,84.5,7.3,0,20,0.00,0.0,0
5,2017-08-02,102,73,87.5,10.3,0,23,0.00,0.0,0
6,2017-08-03,102,76,89.0,11.9,0,24,0.00,0.0,0
7,2017-08-04,93,74,83.5,6.4,0,19,0.00,0.0,0
8,2017-08-05,95,68,81.5,4.5,0,17,0.00,0.0,0
9,2017-08-06,91,61,76.0,-1.0,0,11,0.00,0.0,0
10,2017-08-07,93,60,76.5,-0.4,0,12,0.00,0.0,0
11,2017-08-08,95,60,77.5,0.6,0,13,0.00,0.0,0
12,2017-08-09,90,60,75.0,-1.8,0,10,0.00,0.0,0
13,2017-08-10,95,60,77.5,0.8,0,13,0.00,0.0,0
14,2017-08-11,99,62,80.5,3.8,0,16,0.00,0.0,0
15,2017-08-12,96,64,80.0,3.4,0,15,0.00,0.0,0
16,2017-08-13,92,61,76.5,-0.1,0,12,0.00,0.0,0
17,2017-08-14,82,60,71.0,-5.5,0,6,0.00,0.0,0
18,2017-08-15,85,58,71.5,-4.9,0,7,0.00,0.0,0
19,2017-08-16,90,58,74.0,-2.4,0,9,0.00,0.0,0
20,2017-08-17,95,62,78.5,2.2,0,14,0.00,0.0,0
21,2017-08-18,96,61,78.5,2.2,0,14,0.00,0.0,0
22,2017-08-19,93,61,77.0,0.8,0,12,0.00,0.0,0
23,2017-08-20,90,60,75.0,-1.1,0,10,0.00,0.0,0
24,2017-08-21,85,62,73.5,-2.6,0,9,0.00,0.0,0
25,2017-08-22,96,62,79.0,3.0,0,14,0.00,0.0,0
26,2017-08-23,98,62,80.0,4.1,0,15,0.00,0.0,0
27,2017-08-24,91,61,76.0,0.1,0,11,0.00,0.0,0
28,2017-08-25,98,60,79.0,3.2,0,14,0.00,0.0,0
29,2017-08-26,104,64,84.0,8.3,0,19,0.00,0.0,0
30,2017-08-27,107,71,89.0,13.4,0,24,0.00,0.0,0
31,2017-08-28,109,70,89.5,13.9,0,25,0.00,0.0,0
32,2017-08-29,100,67,83.5,8.0,0,19,0.00,0.0,0
33,2017-08-30,98,62,80.0,4.6,0,15,0.00,0.0,0
34,2017-08-31,101,60,80.5,5.2,0,16,0.00,0.0,0
