3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2014-08-01,107,68,87.5,10.3,0,23,0.00
5,2014-08-02,98,65,81.5,4.3,0,17,0.00
6,2014-08-03,86,59,72.5,-4.6,0,8,0.00
7,2014-08-04,80,61,70.5,-6.6,0,6,0.00
8,2014-08-05,78,68,73.0,-4.0,0,8,0.00
9,2014-08-06,95,70,82.5,5.5,0,18,0.00
10,2014-08-07,96,65,80.5,3.6,0,16,0.00
11,2014-08-08,95,62,78.5,1.6,0,14,0.00
12,2014-08-09,91,60,75.5,-1.3,0,11,0.00
13,2014-08-10,90,58,74.0,-2.7,0,9,0.00
14,2014-08-11,98,60,79.0,2.3,0,14,0.00
15,2014-08-12,87,61,74.0,-2.6,0,9,0.00
16,2014-08-13,90,59,74.5,-2.1,0,10,0.00
17,2014-08-14,92,63,77.5,1.0,0,13,0.00
18,2014-08-15,97,63,80.0,3.6,0,15,0.00
19,2014-08-16,98,62,80.0,3.6,0,15,0.00
20,2014-08-17,96,59,77.5,1.2,0,13,0.00
21,2014-08-18,92,59,75.5,-0.8,0,11,0.00
22,2014-08-19,86,60,73.0,-3.2,0,8,0.00
23,2014-08-20,81,62,71.5,-4.6,0,7,0.00
24,2014-08-21,91,59,75.0,-1.1,0,10,0.00
25,2014-08-22,88,61,74.5,-1.5,0,10,0.00
26,2014-08-23,93,58,75.5,-0.4,0,11,0.00
27,2014-08-24,92,60,76.0,0.1,0,11,0.00
28,2014-08-25,86,59,72.5,-3.3,0,8,0.00
29,2014-08-26,92,59,75.5,-0.2,0,11,0.00
30,2014-08-27,97,64,80.5,4.9,0,16,0.00
31,2014-08-28,99,64,81.5,5.9,0,17,0.00
32,2014-08-29,93,61,77.0,1.5,0,12,0.00
33,2014-08-30,98,64,81.0,5.6,0,16,0.00
34,2014-08-31,96,64,80.0,4.7,0,15,0.00
