3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-05-01,80,51,65.5,1.2,0,1,0.00,0.0,0
5,2018-05-02,81,51,66.0,1.5,0,1,0.00,0.0,0
6,2018-05-03,77,51,64.0,-0.7,1,0,0.00,0.0,0
7,2018-05-04,87,52,69.5,4.5,0,5,0.00,0.0,0
8,2018-05-05,81,56,68.5,3.3,0,4,0.00,0.0,0
9,2018-05-06,78,51,64.5,-0.9,0,0,0.00,0.0,0
10,2018-05-07,88,54,71.0,5.4,0,6,0.00,0.0,0
11,2018-05-08,87,58,72.5,6.6,0,8,0.00,0.0,0
12,2018-05-09,83,57,70.0,3.9,0,5,0.00,0.0,0
13,2018-05-10,86,53,69.5,3.2,0,5,0.00,0.0,0
14,2018-05-11,83,56,69.5,3.0,0,5,0.00,0.0,0
15,2018-05-12,85,57,71.0,4.3,0,6,0.00,0.0,0
16,2018-05-13,77,54,65.5,-1.4,0,1,0.00,0.0,0
17,2018-05-14,76,52,64.0,-3.1,1,0,0.00,0.0,0
18,2018-05-15,75,52,63.5,-3.8,1,0,0.00,0.0,0
19,2018-05-16,71,53,62.0,-5.5,3,0,0.10,0.0,0
20,2018-05-17,83,51,67.0,-0.7,0,2,0.00,0.0,0
21,2018-05-18,83,54,68.5,0.6,0,4,0.00,0.0,0
22,2018-05-19,80,54,67.0,-1.1,0,2,0.00,0.0,0
23,2018-05-20,75,53,64.0,-4.2,1,0,0.00,0.0,0
24,2018-05-21,84,52,68.0,-0.4,0,3,0.00,0.0,0
25,2018-05-22,78,55,66.5,-2.1,0,2,0.00,0.0,0
26,2018-05-23,72,54,63.0,-5.8,2,0,0.00,0.0,0
27,2018-05-24,76,53,64.5,-4.5,0,0,0.00,0.0,0
28,2018-05-25,68,54,61.0,-8.2,4,0,0.32,0.0,0
29,2018-05-26,75,54,64.5,-4.8,0,0,0.00,0.0,0
30,2018-05-27,90,54,72.0,2.5,0,7,0.00,0.0,0
31,2018-05-28,95,61,78.0,8.3,0,13,0.00,0.0,0
32,2018-05-29,98,65,81.5,11.6,0,17,0.00,0.0,0
33,2018-05-30,75,55,65.0,-5.1,0,0,0.00,0.0,0
34,2018-05-31,75,52,63.5,-6.7,1,0,0.00,0.0,0
