3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2014-11-01,68,50,59.0,-0.8,6,0,0.02
5,2014-11-02,67,46,56.5,-2.9,8,0,0.00
6,2014-11-03,69,43,56.0,-3.1,9,0,0.00
7,2014-11-04,70,44,57.0,-1.7,8,0,0.00
8,2014-11-05,75,48,61.5,3.2,3,0,0.00
9,2014-11-06,79,51,65.0,7.1,0,0,0.00
10,2014-11-07,76,49,62.5,4.9,2,0,0.00
11,2014-11-08,78,49,63.5,6.3,1,0,0.00
12,2014-11-09,79,49,64.0,7.2,1,0,0.00
13,2014-11-10,78,50,64.0,7.6,1,0,0.00
14,2014-11-11,65,52,58.5,2.4,6,0,0.00
15,2014-11-12,68,49,58.5,2.8,6,0,0.00
16,2014-11-13,62,55,58.5,3.2,6,0,0.20
17,2014-11-14,67,53,60.0,5.0,5,0,0.01
18,2014-11-15,67,48,57.5,2.9,7,0,0.00
19,2014-11-16,63,45,54.0,-0.3,11,0,0.00
20,2014-11-17,66,40,53.0,-0.9,12,0,0.00
21,2014-11-18,62,40,51.0,-2.6,14,0,0.00
22,2014-11-19,59,48,53.5,0.3,11,0,0.10
23,2014-11-20,55,51,53.0,0.1,12,0,0.23
24,2014-11-21,58,51,54.5,1.9,10,0,0.00
25,2014-11-22,59,51,55.0,2.7,10,0,0.14
26,2014-11-23,59,45,52.0,0.1,13,0,0.00
27,2014-11-24,64,40,52.0,0.4,13,0,0.00
28,2014-11-25,65,42,53.5,2.2,11,0,0.00
29,2014-11-26,69,41,55.0,4.0,10,0,0.00
30,2014-11-27,70,46,58.0,7.3,7,0,0.00
31,2014-11-28,68,41,54.5,4.0,10,0,0.23
32,2014-11-29,61,53,57.0,6.8,8,0,0.18
33,2014-11-30,57,53,55.0,5.1,10,0,0.17
