3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-03-01,67,42,54.5,-0.6,10,0,0.00
5,2015-03-02,64,45,54.5,-0.7,10,0,0.00
6,2015-03-03,67,42,54.5,-0.8,10,0,0.00
7,2015-03-04,68,39,53.5,-2.0,11,0,0.00
8,2015-03-05,72,42,57.0,1.4,8,0,0.00
9,2015-03-06,75,42,58.5,2.8,6,0,0.00
10,2015-03-07,76,45,60.5,4.7,4,0,0.00
11,2015-03-08,77,48,62.5,6.6,2,0,0.00
12,2015-03-09,78,48,63.0,7.0,2,0,0.00
13,2015-03-10,76,51,63.5,7.4,1,0,0.00
14,2015-03-11,66,56,61.0,4.8,4,0,0.16
15,2015-03-12,77,51,64.0,7.7,1,0,0.00
16,2015-03-13,79,54,66.5,10.1,0,2,0.00
17,2015-03-14,85,59,72.0,15.5,0,7,0.00
18,2015-03-15,77,60,68.5,11.9,0,4,0.00
19,2015-03-16,71,55,63.0,6.3,2,0,0.00
20,2015-03-17,76,55,65.5,8.7,0,1,0.00
21,2015-03-18,77,49,63.0,6.1,2,0,0.00
22,2015-03-19,83,50,66.5,9.6,0,2,0.00
23,2015-03-20,74,53,63.5,6.5,1,0,0.00
24,2015-03-21,76,52,64.0,6.9,1,0,0.00
25,2015-03-22,71,53,62.0,4.8,3,0,0.00
26,2015-03-23,70,52,61.0,3.7,4,0,0.00
27,2015-03-24,71,50,60.5,3.1,4,0,0.00
28,2015-03-25,79,50,64.5,7.0,0,0,0.00
29,2015-03-26,84,53,68.5,10.9,0,4,0.00
30,2015-03-27,85,55,70.0,12.3,0,5,0.00
31,2015-03-28,84,53,68.5,10.7,0,4,0.00
32,2015-03-29,86,49,67.5,9.6,0,3,0.00
33,2015-03-30,84,53,68.5,10.5,0,4,0.00
34,2015-03-31,74,49,61.5,3.4,3,0,0.00
