3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2017-05-01,91,60,75.5,11.2,0,11,0.00
5,2017-05-02,92,65,78.5,14.0,0,14,0.00
6,2017-05-03,95,64,79.5,14.8,0,15,0.00
7,2017-05-04,91,58,74.5,9.5,0,10,0.00
8,2017-05-05,82,55,68.5,3.3,0,4,0.00
9,2017-05-06,70,49,59.5,-5.9,5,0,0.00
10,2017-05-07,75,55,65.0,-0.6,0,0,0.00
11,2017-05-08,87,55,71.0,5.1,0,6,0.00
12,2017-05-09,92,57,74.5,8.4,0,10,0.00
13,2017-05-10,74,53,63.5,-2.8,1,0,0.00
14,2017-05-11,74,52,63.0,-3.5,2,0,0.00
15,2017-05-12,73,49,61.0,-5.7,4,0,0.00
16,2017-05-13,73,47,60.0,-6.9,5,0,0.00
17,2017-05-14,76,46,61.0,-6.1,4,0,0.00
18,2017-05-15,79,49,64.0,-3.3,1,0,0.00
19,2017-05-16,68,51,59.5,-8.0,5,0,0.00
20,2017-05-17,78,50,64.0,-3.7,1,0,0.00
21,2017-05-18,87,53,70.0,2.1,0,5,0.00
22,2017-05-19,92,56,74.0,5.9,0,9,0.00
23,2017-05-20,95,60,77.5,9.3,0,13,0.00
24,2017-05-21,96,62,79.0,10.6,0,14,0.00
25,2017-05-22,99,63,81.0,12.4,0,16,0.00
26,2017-05-23,100,63,81.5,12.7,0,17,0.00
27,2017-05-24,79,56,67.5,-1.5,0,3,0.00
28,2017-05-25,73,55,64.0,-5.2,1,0,0.00
29,2017-05-26,73,54,63.5,-5.8,1,0,0.00
30,2017-05-27,81,53,67.0,-2.5,0,2,0.00
31,2017-05-28,89,55,72.0,2.3,0,7,0.00
32,2017-05-29,84,55,69.5,-0.4,0,5,0.00
33,2017-05-30,79,55,67.0,-3.1,0,2,0.00
34,2017-05-31,82,57,69.5,-0.7,0,5,0.10
