3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-03-01,55,45,50.0,-5.1,15,0,1.47,0.0,0
5,2018-03-02,50,39,44.5,-10.7,20,0,0.34,0.0,0
6,2018-03-03,57,36,46.5,-8.8,18,0,0.07,0.0,0
7,2018-03-04,56,35,45.5,-10.0,19,0,0.00,0.0,0
8,2018-03-05,61,34,47.5,-8.1,17,0,0.00,0.0,0
9,2018-03-06,67,38,52.5,-3.2,12,0,0.00,0.0,0
10,2018-03-07,73,46,59.5,3.7,5,0,0.00,0.0,0
11,2018-03-08,70,52,61.0,5.1,4,0,0.15,0.0,0
12,2018-03-09,69,50,59.5,3.5,5,0,0.00,0.0,0
13,2018-03-10,63,50,56.5,0.4,8,0,0.00,0.0,0
14,2018-03-11,73,45,59.0,2.8,6,0,0.00,0.0,0
15,2018-03-12,76,52,64.0,7.7,1,0,0.01,0.0,0
16,2018-03-13,63,51,57.0,0.6,8,0,0.84,0.0,0
17,2018-03-14,59,45,52.0,-4.5,13,0,0.12,0.0,0
18,2018-03-15,52,39,45.5,-11.1,19,0,0.43,0.0,0
19,2018-03-16,58,45,51.5,-5.2,13,0,0.31,0.0,0
20,2018-03-17,60,41,50.5,-6.3,14,0,0.00,0.0,0
21,2018-03-18,60,36,48.0,-8.9,17,0,0.00,0.0,0
22,2018-03-19,68,41,54.5,-2.4,10,0,0.00,0.0,0
23,2018-03-20,57,52,54.5,-2.5,10,0,0.50,0.0,0
24,2018-03-21,69,53,61.0,3.9,4,0,0.77,0.0,0
25,2018-03-22,66,44,55.0,-2.2,10,0,0.36,0.0,0
26,2018-03-23,61,39,50.0,-7.3,15,0,0.00,0.0,0
27,2018-03-24,60,44,52.0,-5.4,13,0,0.00,0.0,0
28,2018-03-25,61,39,50.0,-7.5,15,0,0.00,0.0,0
29,2018-03-26,67,42,54.5,-3.1,10,0,0.00,0.0,0
30,2018-03-27,77,47,62.0,4.3,3,0,0.00,0.0,0
31,2018-03-28,82,48,65.0,7.2,0,0,0.00,0.0,0
32,2018-03-29,86,53,69.5,11.6,0,5,0.00,0.0,0
33,2018-03-30,83,52,67.5,9.5,0,3,0.00,0.0,0
34,2018-03-31,82,55,68.5,10.4,0,4,0.00,0.0,0
