3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2016-02-01,57,40,48.5,-1.3,16,0,0.00
5,2016-02-02,52,38,45.0,-5.0,20,0,0.03
6,2016-02-03,56,36,46.0,-4.2,19,0,0.00
7,2016-02-04,58,43,50.5,0.1,14,0,0.00
8,2016-02-05,64,40,52.0,1.4,13,0,0.00
9,2016-02-06,64,40,52.0,1.2,13,0,0.00
10,2016-02-07,69,41,55.0,4.0,10,0,0.00
11,2016-02-08,74,44,59.0,7.8,6,0,0.00
12,2016-02-09,73,46,59.5,8.1,5,0,0.00
13,2016-02-10,70,46,58.0,6.4,7,0,0.00
14,2016-02-11,72,47,59.5,7.7,5,0,0.00
15,2016-02-12,71,46,58.5,6.5,6,0,0.00
16,2016-02-13,72,48,60.0,7.8,5,0,0.00
17,2016-02-14,75,47,61.0,8.6,4,0,0.00
18,2016-02-15,76,50,63.0,10.4,2,0,0.00
19,2016-02-16,77,50,63.5,10.7,1,0,0.00
20,2016-02-17,69,49,59.0,6.0,6,0,0.57
21,2016-02-18,61,47,54.0,0.8,11,0,0.25
22,2016-02-19,63,45,54.0,0.6,11,0,0.00
23,2016-02-20,61,43,52.0,-1.6,13,0,0.00
24,2016-02-21,66,41,53.5,-0.3,11,0,0.00
25,2016-02-22,70,44,57.0,3.1,8,0,0.00
26,2016-02-23,72,43,57.5,3.4,7,0,0.00
27,2016-02-24,74,46,60.0,5.7,5,0,0.00
28,2016-02-25,74,47,60.5,6.0,4,0,0.00
29,2016-02-26,73,49,61.0,6.4,4,0,0.00
30,2016-02-27,66,49,57.5,2.7,7,0,0.00
31,2016-02-28,70,47,58.5,3.6,6,0,0.00
32,2016-02-29,74,47,60.5,5.5,4,0,0.00
