3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2016-06-01,98,64,81.0,10.6,0,16,0.00
5,2016-06-02,100,59,79.5,8.9,0,15,0.00
6,2016-06-03,104,65,84.5,13.7,0,20,0.00
7,2016-06-04,94,69,81.5,10.5,0,17,0.00
8,2016-06-05,103,63,83.0,11.9,0,18,0.00
9,2016-06-06,94,61,77.5,6.2,0,13,0.00
10,2016-06-07,90,59,74.5,3.0,0,10,0.00
11,2016-06-08,85,57,71.0,-0.7,0,6,0.00
12,2016-06-09,83,57,70.0,-1.9,0,5,0.00
13,2016-06-10,86,58,72.0,-0.1,0,7,0.00
14,2016-06-11,89,56,72.5,0.2,0,8,0.00
15,2016-06-12,89,59,74.0,1.5,0,9,0.00
16,2016-06-13,83,56,69.5,-3.2,0,5,0.00
17,2016-06-14,81,56,68.5,-4.4,0,4,0.00
18,2016-06-15,72,52,62.0,-11.1,3,0,0.00
19,2016-06-16,80,51,65.5,-7.8,0,1,0.00
20,2016-06-17,80,57,68.5,-5.0,0,4,0.00
21,2016-06-18,83,61,72.0,-1.7,0,7,0.00
22,2016-06-19,94,58,76.0,2.2,0,11,0.00
23,2016-06-20,99,61,80.0,6.0,0,15,0.00
24,2016-06-21,102,62,82.0,7.8,0,17,0.00
25,2016-06-22,95,62,78.5,4.1,0,14,0.00
26,2016-06-23,94,60,77.0,2.4,0,12,0.00
27,2016-06-24,93,59,76.0,1.2,0,11,0.00
28,2016-06-25,102,61,81.5,6.5,0,17,0.00
29,2016-06-26,105,66,85.5,10.4,0,21,0.00
30,2016-06-27,107,67,87.0,11.7,0,22,0.00
31,2016-06-28,107,69,88.0,12.5,0,23,0.00
32,2016-06-29,100,62,81.0,5.4,0,16,0.00
33,2016-06-30,105,59,82.0,6.2,0,17,0.00
