3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-11-01,68,58,63.0,3.2,2,0,0.15
5,2015-11-02,62,53,57.5,-1.9,7,0,0.26
6,2015-11-03,66,46,56.0,-3.1,9,0,0.00
7,2015-11-04,65,44,54.5,-4.2,10,0,0.00
8,2015-11-05,68,41,54.5,-3.8,10,0,0.00
9,2015-11-06,69,40,54.5,-3.4,10,0,0.00
10,2015-11-07,69,42,55.5,-2.1,9,0,0.00
11,2015-11-08,57,45,51.0,-6.2,14,0,0.27
12,2015-11-09,54,47,50.5,-6.3,14,0,0.27
13,2015-11-10,59,44,51.5,-4.9,13,0,0.03
14,2015-11-11,61,38,49.5,-6.6,15,0,0.00
15,2015-11-12,62,38,50.0,-5.7,15,0,0.00
16,2015-11-13,66,40,53.0,-2.3,12,0,0.00
17,2015-11-14,68,40,54.0,-1.0,11,0,0.00
18,2015-11-15,63,47,55.0,0.4,10,0,0.33
19,2015-11-16,60,42,51.0,-3.3,14,0,0.00
20,2015-11-17,62,40,51.0,-2.9,14,0,0.00
21,2015-11-18,65,40,52.5,-1.1,12,0,0.00
22,2015-11-19,67,42,54.5,1.3,10,0,0.00
23,2015-11-20,71,45,58.0,5.1,7,0,0.00
24,2015-11-21,69,46,57.5,4.9,7,0,0.00
25,2015-11-22,70,43,56.5,4.2,8,0,0.00
26,2015-11-23,68,46,57.0,5.1,8,0,0.00
27,2015-11-24,59,44,51.5,-0.1,13,0,0.04
28,2015-11-25,53,37,45.0,-6.3,20,0,0.00
29,2015-11-26,55,34,44.5,-6.5,20,0,0.00
30,2015-11-27,57,37,47.0,-3.7,18,0,0.00
31,2015-11-28,55,32,43.5,-7.0,21,0,0.00
32,2015-11-29,57,31,44.0,-6.2,21,0,0.00
33,2015-11-30,50,32,41.0,-8.9,24,0,0.00
