3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-04-01,72,47,59.5,1.3,5,0,0.00
5,2015-04-02,73,50,61.5,3.1,3,0,0.00
6,2015-04-03,78,44,61.0,2.5,4,0,0.00
7,2015-04-04,73,44,58.5,-0.1,6,0,0.00
8,2015-04-05,61,46,53.5,-5.3,11,0,0.11
9,2015-04-06,65,40,52.5,-6.4,12,0,0.00
10,2015-04-07,59,47,53.0,-6.1,12,0,0.75
11,2015-04-08,64,42,53.0,-6.3,12,0,0.01
12,2015-04-09,72,43,57.5,-1.9,7,0,0.00
13,2015-04-10,75,47,61.0,1.4,4,0,0.00
14,2015-04-11,77,48,62.5,2.7,2,0,0.00
15,2015-04-12,83,52,67.5,7.5,0,3,0.00
16,2015-04-13,77,52,64.5,4.3,0,0,0.00
17,2015-04-14,68,47,57.5,-2.9,7,0,0.00
18,2015-04-15,76,50,63.0,2.4,2,0,0.00
19,2015-04-16,83,53,68.0,7.2,0,3,0.00
20,2015-04-17,85,51,68.0,7.0,0,3,0.00
21,2015-04-18,86,53,69.5,8.3,0,5,0.00
22,2015-04-19,87,55,71.0,9.5,0,6,0.00
23,2015-04-20,81,52,66.5,4.8,0,2,0.00
24,2015-04-21,69,52,60.5,-1.4,4,0,0.00
25,2015-04-22,80,51,65.5,3.4,0,1,0.00
26,2015-04-23,79,52,65.5,3.1,0,1,0.00
27,2015-04-24,73,52,62.5,-0.1,2,0,0.54
28,2015-04-25,72,51,61.5,-1.3,3,0,0.41
29,2015-04-26,79,49,64.0,0.9,1,0,0.00
30,2015-04-27,88,57,72.5,9.2,0,8,0.00
31,2015-04-28,85,56,70.5,6.9,0,6,0.00
32,2015-04-29,86,54,70.0,6.2,0,5,0.00
33,2015-04-30,92,59,75.5,11.5,0,11,0.00
