3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-10-01,79,62,70.5,0.5,0,6,0.00
5,2015-10-02,88,58,73.0,3.3,0,8,0.00
6,2015-10-03,87,57,72.0,2.5,0,7,0.06
7,2015-10-04,81,54,67.5,-1.7,0,3,0.00
8,2015-10-05,82,58,70.0,1.1,0,5,0.00
9,2015-10-06,84,59,71.5,2.9,0,7,0.00
10,2015-10-07,86,58,72.0,3.7,0,7,0.00
11,2015-10-08,89,64,76.5,8.5,0,12,0.00
12,2015-10-09,92,60,76.0,8.3,0,11,0.00
13,2015-10-10,90,58,74.0,6.6,0,9,0.00
14,2015-10-11,89,58,73.5,6.4,0,9,0.00
15,2015-10-12,93,59,76.0,9.2,0,11,0.00
16,2015-10-13,95,61,78.0,11.5,0,13,0.00
17,2015-10-14,94,65,79.5,13.3,0,15,0.00
18,2015-10-15,90,66,78.0,12.2,0,13,0.00
19,2015-10-16,88,65,76.5,11.0,0,12,0.00
20,2015-10-17,76,59,67.5,2.3,0,3,0.38
21,2015-10-18,75,57,66.0,1.2,0,1,0.00
22,2015-10-19,76,57,66.5,2.0,0,2,0.00
23,2015-10-20,84,55,69.5,5.4,0,5,0.00
24,2015-10-21,84,53,68.5,4.7,0,4,0.00
25,2015-10-22,83,58,70.5,7.1,0,6,0.00
26,2015-10-23,81,51,66.0,2.9,0,1,0.00
27,2015-10-24,82,55,68.5,5.8,0,4,0.00
28,2015-10-25,83,58,70.5,8.1,0,6,0.00
29,2015-10-26,81,52,66.5,4.5,0,2,0.00
30,2015-10-27,73,59,66.0,4.4,0,1,0.00
31,2015-10-28,75,59,67.0,5.7,0,2,0.00
32,2015-10-29,79,52,65.5,4.6,0,1,0.00
33,2015-10-30,84,53,68.5,8.0,0,4,0.00
34,2015-10-31,86,56,71.0,10.8,0,6,0.00
