3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2017-09-01,107,70,88.5,13.3,0,24,0.00,0.0,0
5,2017-09-02,106,71,88.5,13.4,0,24,0.00,0.0,0
6,2017-09-03,105,74,89.5,14.5,0,25,0.00,0.0,0
7,2017-09-04,95,74,84.5,9.6,0,20,0.00,0.0,0
8,2017-09-05,93,70,81.5,6.7,0,17,0.00,0.0,0
9,2017-09-06,94,68,81.0,6.3,0,16,0.00,0.0,0
10,2017-09-07,80,66,73.0,-1.6,0,8,0.00,0.0,0
11,2017-09-08,90,62,76.0,1.5,0,11,0.00,0.0,0
12,2017-09-09,94,62,78.0,3.6,0,13,0.00,0.0,0
13,2017-09-10,98,66,82.0,7.8,0,17,0.00,0.0,0
14,2017-09-11,100,71,85.5,11.4,0,21,0.00,0.0,0
15,2017-09-12,95,69,82.0,8.1,0,17,0.00,0.0,0
16,2017-09-13,81,64,72.5,-1.3,0,8,0.00,0.0,0
17,2017-09-14,79,63,71.0,-2.6,0,6,0.00,0.0,0
18,2017-09-15,85,57,71.0,-2.5,0,6,0.00,0.0,0
19,2017-09-16,85,60,72.5,-0.8,0,8,0.00,0.0,0
20,2017-09-17,87,59,73.0,-0.1,0,8,0.00,0.0,0
21,2017-09-18,84,60,72.0,-0.9,0,7,0.00,0.0,0
22,2017-09-19,79,55,67.0,-5.7,0,2,0.00,0.0,0
23,2017-09-20,80,55,67.5,-5.1,0,3,0.00,0.0,0
24,2017-09-21,75,52,63.5,-8.9,1,0,0.00,0.0,0
25,2017-09-22,76,53,64.5,-7.6,0,0,0.00,0.0,0
26,2017-09-23,80,53,66.5,-5.4,0,2,0.00,0.0,0
27,2017-09-24,83,52,67.5,-4.2,0,3,0.00,0.0,0
28,2017-09-25,86,53,69.5,-2.0,0,5,0.00,0.0,0
29,2017-09-26,92,55,73.5,2.2,0,9,0.00,0.0,0
30,2017-09-27,93,57,75.0,4.0,0,10,0.00,0.0,0
31,2017-09-28,93,59,76.0,5.2,0,11,0.00,0.0,0
32,2017-09-29,87,61,74.0,3.5,0,9,0.00,0.0,0
33,2017-09-30,84,58,71.0,0.7,0,6,0.00,0.0,0
