3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2016-10-01,78,49,63.5,-6.5,1,0,0.00
5,2016-10-02,72,50,61.0,-8.7,4,0,0.01
6,2016-10-03,65,49,57.0,-12.5,8,0,0.01
7,2016-10-04,74,50,62.0,-7.2,3,0,0.00
8,2016-10-05,76,48,62.0,-6.9,3,0,0.00
9,2016-10-06,81,51,66.0,-2.6,0,1,0.00
10,2016-10-07,83,50,66.5,-1.8,0,2,0.00
11,2016-10-08,88,54,71.0,3.0,0,6,0.00
12,2016-10-09,90,53,71.5,3.8,0,7,0.00
13,2016-10-10,86,58,72.0,4.6,0,7,0.00
14,2016-10-11,79,52,65.5,-1.6,0,1,0.00
15,2016-10-12,78,52,65.0,-1.8,0,0,0.00
16,2016-10-13,77,56,66.5,0.0,0,2,0.00
17,2016-10-14,65,62,63.5,-2.7,1,0,0.59
18,2016-10-15,74,57,65.5,-0.3,0,1,0.16
19,2016-10-16,63,59,61.0,-4.5,4,0,1.43
20,2016-10-17,71,55,63.0,-2.2,2,0,0.00
21,2016-10-18,72,49,60.5,-4.3,4,0,0.00
22,2016-10-19,76,48,62.0,-2.5,3,0,0.00
23,2016-10-20,80,50,65.0,0.9,0,0,0.00
24,2016-10-21,84,51,67.5,3.7,0,3,0.00
25,2016-10-22,78,55,66.5,3.1,0,2,0.00
26,2016-10-23,78,53,65.5,2.4,0,1,0.00
27,2016-10-24,70,59,64.5,1.8,0,0,0.01
28,2016-10-25,69,59,64.0,1.6,1,0,0.18
29,2016-10-26,80,56,68.0,6.0,0,3,0.00
30,2016-10-27,67,57,62.0,0.4,3,0,0.68
31,2016-10-28,67,60,63.5,2.2,1,0,0.66
32,2016-10-29,74,59,66.5,5.6,0,2,0.00
33,2016-10-30,65,54,59.5,-1.0,5,0,0.62
34,2016-10-31,67,51,59.0,-1.2,6,0,0.06
