3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-08-01,94,63,78.5,1.3,0,14,0.00
5,2015-08-02,93,63,78.0,0.8,0,13,0.00
6,2015-08-03,90,61,75.5,-1.6,0,11,0.00
7,2015-08-04,82,61,71.5,-5.6,0,7,0.00
8,2015-08-05,95,59,77.0,0.0,0,12,0.00
9,2015-08-06,91,64,77.5,0.5,0,13,0.00
10,2015-08-07,92,66,79.0,2.1,0,14,0.00
11,2015-08-08,88,60,74.0,-2.9,0,9,0.00
12,2015-08-09,98,62,80.0,3.2,0,15,0.00
13,2015-08-10,92,63,77.5,0.8,0,13,0.00
14,2015-08-11,91,62,76.5,-0.2,0,12,0.00
15,2015-08-12,92,61,76.5,-0.1,0,12,0.00
16,2015-08-13,91,62,76.5,-0.1,0,12,0.00
17,2015-08-14,93,61,77.0,0.5,0,12,0.00
18,2015-08-15,99,62,80.5,4.1,0,16,0.00
19,2015-08-16,106,65,85.5,9.1,0,21,0.00
20,2015-08-17,106,69,87.5,11.2,0,23,0.00
21,2015-08-18,96,62,79.0,2.7,0,14,0.00
22,2015-08-19,91,59,75.0,-1.2,0,10,0.00
23,2015-08-20,88,59,73.5,-2.6,0,9,0.00
24,2015-08-21,89,60,74.5,-1.6,0,10,0.00
25,2015-08-22,92,59,75.5,-0.5,0,11,0.00
26,2015-08-23,91,60,75.5,-0.4,0,11,0.00
27,2015-08-24,94,60,77.0,1.1,0,12,0.00
28,2015-08-25,97,61,79.0,3.2,0,14,0.00
29,2015-08-26,100,63,81.5,5.8,0,17,0.00
30,2015-08-27,102,67,84.5,8.9,0,20,0.00
31,2015-08-28,103,69,86.0,10.4,0,21,0.00
32,2015-08-29,87,64,75.5,0.0,0,11,0.00
33,2015-08-30,89,58,73.5,-1.9,0,9,0.00
34,2015-08-31,95,61,78.0,2.7,0,13,0.00
