3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-09-01,93,63,78.0,2.8,0,13,0.00
5,2015-09-02,86,62,74.0,-1.1,0,9,0.00
6,2015-09-03,83,60,71.5,-3.5,0,7,0.00
7,2015-09-04,83,57,70.0,-4.9,0,5,0.00
8,2015-09-05,85,55,70.0,-4.8,0,5,0.00
9,2015-09-06,92,53,72.5,-2.2,0,8,0.00
10,2015-09-07,95,57,76.0,1.4,0,11,0.00
11,2015-09-08,101,59,80.0,5.5,0,15,0.00
12,2015-09-09,104,64,84.0,9.6,0,19,0.00
13,2015-09-10,107,67,87.0,12.8,0,22,0.00
14,2015-09-11,101,72,86.5,12.4,0,22,0.00
15,2015-09-12,86,67,76.5,2.6,0,12,0.00
16,2015-09-13,94,70,82.0,8.2,0,17,0.00
17,2015-09-14,80,63,71.5,-2.1,0,7,0.00
18,2015-09-15,79,58,68.5,-5.0,0,4,0.00
19,2015-09-16,75,55,65.0,-8.3,0,0,0.00
20,2015-09-17,80,59,69.5,-3.6,0,5,0.00
21,2015-09-18,88,56,72.0,-0.9,0,7,0.00
22,2015-09-19,94,57,75.5,2.8,0,11,0.00
23,2015-09-20,98,58,78.0,5.4,0,13,0.00
24,2015-09-21,100,61,80.5,8.1,0,16,0.00
25,2015-09-22,85,59,72.0,-0.1,0,7,0.00
26,2015-09-23,88,55,71.5,-0.4,0,7,0.00
27,2015-09-24,94,63,78.5,6.8,0,14,0.00
28,2015-09-25,98,62,80.0,8.5,0,15,0.00
29,2015-09-26,96,63,79.5,8.2,0,15,0.00
30,2015-09-27,92,63,77.5,6.5,0,13,0.00
31,2015-09-28,91,63,77.0,6.2,0,12,0.00
32,2015-09-29,79,56,67.5,-3.0,0,3,0.00
33,2015-09-30,68,59,63.5,-6.8,1,0,0.00
