3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2016-11-01,68,54,61.0,1.2,4,0,0.10
5,2016-11-02,69,47,58.0,-1.4,7,0,0.00
6,2016-11-03,73,48,60.5,1.4,4,0,0.00
7,2016-11-04,74,50,62.0,3.3,3,0,0.00
8,2016-11-05,73,47,60.0,1.7,5,0,0.00
9,2016-11-06,70,55,62.5,4.6,2,0,0.00
10,2016-11-07,73,55,64.0,6.4,1,0,0.00
11,2016-11-08,75,54,64.5,7.3,0,0,0.00
12,2016-11-09,76,53,64.5,7.7,0,0,0.00
13,2016-11-10,76,52,64.0,7.6,1,0,0.00
14,2016-11-11,75,52,63.5,7.4,1,0,0.00
15,2016-11-12,78,55,66.5,10.8,0,2,0.00
16,2016-11-13,73,52,62.5,7.2,2,0,0.00
17,2016-11-14,75,49,62.0,7.0,3,0,0.00
18,2016-11-15,70,51,60.5,5.9,4,0,0.00
19,2016-11-16,62,45,53.5,-0.8,11,0,0.00
20,2016-11-17,62,40,51.0,-2.9,14,0,0.00
21,2016-11-18,68,39,53.5,-0.1,11,0,0.00
22,2016-11-19,58,50,54.0,0.8,11,0,0.23
23,2016-11-20,60,54,57.0,4.1,8,0,0.28
24,2016-11-21,63,47,55.0,2.4,10,0,0.01
25,2016-11-22,59,43,51.0,-1.3,14,0,0.00
26,2016-11-23,62,44,53.0,1.1,12,0,0.14
27,2016-11-24,61,39,50.0,-1.6,15,0,0.00
28,2016-11-25,55,42,48.5,-2.8,16,0,0.00
29,2016-11-26,51,45,48.0,-3.0,17,0,0.38
30,2016-11-27,59,42,50.5,-0.2,14,0,0.13
31,2016-11-28,53,47,50.0,-0.5,15,0,0.05
32,2016-11-29,59,37,48.0,-2.2,17,0,0.00
33,2016-11-30,58,40,49.0,-0.9,16,0,0.01
