3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2014-05-01,94,60,77.0,12.7,0,12,0.00
5,2014-05-02,90,57,73.5,9.0,0,9,0.00
6,2014-05-03,76,56,66.0,1.3,0,1,0.00
7,2014-05-04,76,52,64.0,-1.0,1,0,0.00
8,2014-05-05,74,54,64.0,-1.2,1,0,0.01
9,2014-05-06,78,54,66.0,0.6,0,1,0.00
10,2014-05-07,78,51,64.5,-1.1,0,0,0.00
11,2014-05-08,71,53,62.0,-3.9,3,0,0.00
12,2014-05-09,77,54,65.5,-0.6,0,1,0.00
13,2014-05-10,75,49,62.0,-4.3,3,0,0.00
14,2014-05-11,83,52,67.5,1.0,0,3,0.00
15,2014-05-12,90,54,72.0,5.3,0,7,0.00
16,2014-05-13,95,56,75.5,8.6,0,11,0.00
17,2014-05-14,98,62,80.0,12.9,0,15,0.00
18,2014-05-15,97,63,80.0,12.7,0,15,0.00
19,2014-05-16,92,61,76.5,9.0,0,12,0.00
20,2014-05-17,83,59,71.0,3.3,0,6,0.00
21,2014-05-18,81,56,68.5,0.6,0,4,0.00
22,2014-05-19,76,55,65.5,-2.6,0,1,0.00
23,2014-05-20,77,52,64.5,-3.7,0,0,0.00
24,2014-05-21,86,54,70.0,1.6,0,5,0.00
25,2014-05-22,90,56,73.0,4.4,0,8,0.00
26,2014-05-23,93,55,74.0,5.2,0,9,0.00
27,2014-05-24,94,62,78.0,9.0,0,13,0.00
28,2014-05-25,97,60,78.5,9.3,0,14,0.00
29,2014-05-26,95,61,78.0,8.7,0,13,0.00
30,2014-05-27,90,60,75.0,5.5,0,10,0.00
31,2014-05-28,83,58,70.5,0.8,0,6,0.00
32,2014-05-29,89,57,73.0,3.1,0,8,0.00
33,2014-05-30,85,56,70.5,0.4,0,6,0.00
34,2014-05-31,89,52,70.5,0.3,0,6,0.00
