3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-06-01,86,53,69.5,-0.9,0,5,0.00,0.0,0
5,2018-06-02,97,58,77.5,6.9,0,13,0.00,0.0,0
6,2018-06-03,100,64,82.0,11.2,0,17,0.00,0.0,0
7,2018-06-04,91,62,76.5,5.5,0,12,0.00,0.0,0
8,2018-06-05,87,56,71.5,0.4,0,7,0.00,0.0,0
9,2018-06-06,81,55,68.0,-3.3,0,3,0.00,0.0,0
10,2018-06-07,84,56,70.0,-1.5,0,5,0.00,0.0,0
11,2018-06-08,90,56,73.0,1.3,0,8,0.00,0.0,0
12,2018-06-09,81,60,70.5,-1.4,0,6,0.00,0.0,0
13,2018-06-10,84,57,70.5,-1.6,0,6,0.00,0.0,0
14,2018-06-11,91,55,73.0,0.7,0,8,0.00,0.0,0
15,2018-06-12,100,61,80.5,8.0,0,16,0.00,0.0,0
16,2018-06-13,100,64,82.0,9.3,0,17,0.00,0.0,0
17,2018-06-14,93,60,76.5,3.6,0,12,0.00,0.0,0
18,2018-06-15,85,58,71.5,-1.6,0,7,0.00,0.0,0
19,2018-06-16,83,55,69.0,-4.3,0,4,0.00,0.0,0
20,2018-06-17,80,54,67.0,-6.5,0,2,0.00,0.0,0
21,2018-06-18,91,57,74.0,0.3,0,9,0.00,0.0,0
22,2018-06-19,95,58,76.5,2.7,0,12,0.00,0.0,0
23,2018-06-20,91,57,74.0,0.0,0,9,0.00,0.0,0
24,2018-06-21,97,55,76.0,1.8,0,11,0.00,0.0,0
25,2018-06-22,103,63,83.0,8.6,0,18,0.00,0.0,0
26,2018-06-23,101,68,84.5,9.9,0,20,0.00,0.0,0
27,2018-06-24,94,66,80.0,5.2,0,15,0.00,0.0,0
28,2018-06-25,86,58,72.0,-3.0,0,7,0.00,0.0,0
29,2018-06-26,94,57,75.5,0.4,0,11,0.00,0.0,0
30,2018-06-27,88,57,72.5,-2.8,0,8,0.00,0.0,0
31,2018-06-28,91,58,74.5,-1.0,0,10,0.00,0.0,0
32,2018-06-29,98,60,79.0,3.4,0,14,0.00,0.0,0
33,2018-06-30,103,66,84.5,8.7,0,20,0.00,0.0,0
