3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2014-06-01,93,57,75.0,4.6,0,10,0.00
5,2014-06-02,82,54,68.0,-2.6,0,3,0.00
6,2014-06-03,88,52,70.0,-0.8,0,5,0.00
7,2014-06-04,97,57,77.0,6.0,0,12,0.00
8,2014-06-05,96,61,78.5,7.4,0,14,0.00
9,2014-06-06,95,58,76.5,5.2,0,12,0.00
10,2014-06-07,98,57,77.5,6.0,0,13,0.00
11,2014-06-08,104,66,85.0,13.3,0,20,0.00
12,2014-06-09,107,69,88.0,16.1,0,23,0.00
13,2014-06-10,104,61,82.5,10.4,0,18,0.00
14,2014-06-11,84,57,70.5,-1.8,0,6,0.00
15,2014-06-12,85,54,69.5,-3.0,0,5,0.00
16,2014-06-13,88,56,72.0,-0.7,0,7,0.00
17,2014-06-14,90,60,75.0,2.1,0,10,0.00
18,2014-06-15,85,59,72.0,-1.1,0,7,0.00
19,2014-06-16,79,57,68.0,-5.3,0,3,0.00
20,2014-06-17,84,55,69.5,-4.0,0,5,0.00
21,2014-06-18,95,60,77.5,3.8,0,13,0.00
22,2014-06-19,94,60,77.0,3.2,0,12,0.00
23,2014-06-20,97,61,79.0,5.0,0,14,0.00
24,2014-06-21,92,61,76.5,2.3,0,12,0.00
25,2014-06-22,93,57,75.0,0.6,0,10,0.00
26,2014-06-23,95,57,76.0,1.4,0,11,0.00
27,2014-06-24,95,64,79.5,4.7,0,15,0.00
28,2014-06-25,85,62,73.5,-1.5,0,9,0.00
29,2014-06-26,83,62,72.5,-2.6,0,8,0.00
30,2014-06-27,90,59,74.5,-0.8,0,10,0.00
31,2014-06-28,95,60,77.5,2.0,0,13,0.00
32,2014-06-29,99,63,81.0,5.4,0,16,0.00
33,2014-06-30,106,69,87.5,11.7,0,23,0.00
