3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2017-06-01,86,57,71.5,1.1,0,7,0.00,0.0,0
5,2017-06-02,92,59,75.5,4.9,0,11,0.00,0.0,0
6,2017-06-03,91,61,76.0,5.2,0,11,0.00,0.0,0
7,2017-06-04,89,58,73.5,2.5,0,9,0.00,0.0,0
8,2017-06-05,94,56,75.0,3.9,0,10,0.00,0.0,0
9,2017-06-06,92,60,76.0,4.7,0,11,0.00,0.0,0
10,2017-06-07,82,58,70.0,-1.5,0,5,0.00,0.0,0
11,2017-06-08,73,54,63.5,-8.2,1,0,0.18,0.0,0
12,2017-06-09,78,56,67.0,-4.9,0,2,0.00,0.0,0
13,2017-06-10,78,49,63.5,-8.6,1,0,0.00,0.0,0
14,2017-06-11,71,49,60.0,-12.3,5,0,0.00,0.0,0
15,2017-06-12,75,49,62.0,-10.5,3,0,0.00,0.0,0
16,2017-06-13,86,54,70.0,-2.7,0,5,0.00,0.0,0
17,2017-06-14,93,58,75.5,2.6,0,11,0.00,0.0,0
18,2017-06-15,95,60,77.5,4.4,0,13,0.00,0.0,0
19,2017-06-16,101,66,83.5,10.2,0,19,0.00,0.0,0
20,2017-06-17,101,74,87.5,14.0,0,23,0.00,0.0,0
21,2017-06-18,106,75,90.5,16.8,0,26,0.00,0.0,0
22,2017-06-19,107,78,92.5,18.7,0,28,0.00,0.0,0
23,2017-06-20,106,74,90.0,16.0,0,25,0.00,0.0,0
24,2017-06-21,106,66,86.0,11.8,0,21,0.00,0.0,0
25,2017-06-22,108,77,92.5,18.1,0,28,0.00,0.0,0
26,2017-06-23,101,69,85.0,10.4,0,20,0.00,0.0,0
27,2017-06-24,97,62,79.5,4.7,0,15,0.00,0.0,0
28,2017-06-25,89,61,75.0,0.0,0,10,0.00,0.0,0
29,2017-06-26,85,58,71.5,-3.6,0,7,0.00,0.0,0
30,2017-06-27,88,59,73.5,-1.8,0,9,0.00,0.0,0
31,2017-06-28,92,57,74.5,-1.0,0,10,0.00,0.0,0
32,2017-06-29,94,58,76.0,0.4,0,11,0.00,0.0,0
33,2017-06-30,94,57,75.5,-0.3,0,11,0.00,0.0,0
