3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2014-10-01,86,58,72.0,2.0,0,7,0.00
5,2014-10-02,89,54,71.5,1.8,0,7,0.00
6,2014-10-03,95,58,76.5,7.0,0,12,0.00
7,2014-10-04,96,58,77.0,7.8,0,12,0.00
8,2014-10-05,95,59,77.0,8.1,0,12,0.00
9,2014-10-06,96,59,77.5,8.9,0,13,0.00
10,2014-10-07,96,59,77.5,9.2,0,13,0.00
11,2014-10-08,95,58,76.5,8.5,0,12,0.00
12,2014-10-09,90,58,74.0,6.3,0,9,0.00
13,2014-10-10,87,57,72.0,4.6,0,7,0.00
14,2014-10-11,87,57,72.0,4.9,0,7,0.00
15,2014-10-12,88,60,74.0,7.2,0,9,0.00
16,2014-10-13,92,56,74.0,7.5,0,9,0.00
17,2014-10-14,74,57,65.5,-0.7,0,1,0.00
18,2014-10-15,72,60,66.0,0.2,0,1,0.09
19,2014-10-16,78,56,67.0,1.5,0,2,0.00
20,2014-10-17,74,54,64.0,-1.2,1,0,0.00
21,2014-10-18,81,55,68.0,3.2,0,3,0.00
22,2014-10-19,82,54,68.0,3.5,0,3,0.00
23,2014-10-20,74,59,66.5,2.4,0,2,0.00
24,2014-10-21,72,50,61.0,-2.8,4,0,0.00
25,2014-10-22,77,51,64.0,0.6,1,0,0.00
26,2014-10-23,77,57,67.0,3.9,0,2,0.00
27,2014-10-24,79,53,66.0,3.3,0,1,0.00
28,2014-10-25,73,58,65.5,3.1,0,1,0.09
29,2014-10-26,70,50,60.0,-2.0,5,0,0.00
30,2014-10-27,72,46,59.0,-2.6,6,0,0.00
31,2014-10-28,77,47,62.0,0.7,3,0,0.00
32,2014-10-29,81,50,65.5,4.6,0,1,0.00
33,2014-10-30,81,54,67.5,7.0,0,3,0.00
34,2014-10-31,67,56,61.5,1.3,3,0,0.19
