3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2016-05-01,86,55,70.5,6.2,0,6,0.00
5,2016-05-02,86,56,71.0,6.5,0,6,0.00
6,2016-05-03,85,55,70.0,5.3,0,5,0.00
7,2016-05-04,80,58,69.0,4.0,0,4,0.00
8,2016-05-05,64,57,60.5,-4.7,4,0,0.36
9,2016-05-06,66,56,61.0,-4.4,4,0,0.05
10,2016-05-07,64,56,60.0,-5.6,5,0,0.04
11,2016-05-08,76,56,66.0,0.1,0,1,0.00
12,2016-05-09,78,54,66.0,-0.1,0,1,0.00
13,2016-05-10,89,54,71.5,5.2,0,7,0.00
14,2016-05-11,91,56,73.5,7.0,0,9,0.00
15,2016-05-12,93,55,74.0,7.3,0,9,0.00
16,2016-05-13,80,55,67.5,0.6,0,3,0.00
17,2016-05-14,80,51,65.5,-1.6,0,1,0.00
18,2016-05-15,85,53,69.0,1.7,0,4,0.00
19,2016-05-16,87,56,71.5,4.0,0,7,0.00
20,2016-05-17,93,65,79.0,11.3,0,14,0.00
21,2016-05-18,98,64,81.0,13.1,0,16,0.00
22,2016-05-19,82,58,70.0,1.9,0,5,0.00
23,2016-05-20,71,51,61.0,-7.2,4,0,0.14
24,2016-05-21,71,52,61.5,-6.9,3,0,0.00
25,2016-05-22,73,48,60.5,-8.1,4,0,0.00
26,2016-05-23,78,51,64.5,-4.3,0,0,0.00
27,2016-05-24,77,54,65.5,-3.5,0,1,0.00
28,2016-05-25,81,52,66.5,-2.7,0,2,0.00
29,2016-05-26,87,55,71.0,1.7,0,6,0.00
30,2016-05-27,89,56,72.5,3.0,0,8,0.00
31,2016-05-28,90,64,77.0,7.3,0,12,0.00
32,2016-05-29,94,60,77.0,7.1,0,12,0.00
33,2016-05-30,98,59,78.5,8.4,0,14,0.00
34,2016-05-31,103,63,83.0,12.8,0,18,0.00
