3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2014-07-01,94,64,79.0,3.0,0,14,0.00
5,2014-07-02,94,58,76.0,-0.1,0,11,0.00
6,2014-07-03,96,61,78.5,2.3,0,14,0.00
7,2014-07-04,99,64,81.5,5.1,0,17,0.00
8,2014-07-05,100,59,79.5,3.0,0,15,0.00
9,2014-07-06,101,62,81.5,4.9,0,17,0.00
10,2014-07-07,97,65,81.0,4.3,0,16,0.00
11,2014-07-08,99,67,83.0,6.2,0,18,0.00
12,2014-07-09,93,61,77.0,0.1,0,12,0.00
13,2014-07-10,89,60,74.5,-2.5,0,10,0.00
14,2014-07-11,88,61,74.5,-2.6,0,10,0.00
15,2014-07-12,94,59,76.5,-0.7,0,12,0.00
16,2014-07-13,101,60,80.5,3.3,0,16,0.00
17,2014-07-14,106,70,88.0,10.7,0,23,0.00
18,2014-07-15,96,71,83.5,6.2,0,19,0.00
19,2014-07-16,88,65,76.5,-0.9,0,12,0.00
20,2014-07-17,87,68,77.5,0.1,0,13,0.00
21,2014-07-18,88,61,74.5,-2.9,0,10,0.00
22,2014-07-19,95,60,77.5,0.0,0,13,0.00
23,2014-07-20,83,64,73.5,-4.0,0,9,0.02
24,2014-07-21,87,64,75.5,-2.0,0,11,0.00
25,2014-07-22,88,63,75.5,-2.0,0,11,0.00
26,2014-07-23,90,60,75.0,-2.5,0,10,0.00
27,2014-07-24,97,64,80.5,3.0,0,16,0.00
28,2014-07-25,104,65,84.5,7.0,0,20,0.00
29,2014-07-26,104,68,86.0,8.6,0,21,0.00
30,2014-07-27,102,72,87.0,9.6,0,22,0.00
31,2014-07-28,98,65,81.5,4.1,0,17,0.00
32,2014-07-29,101,66,83.5,6.2,0,19,0.00
33,2014-07-30,102,68,85.0,7.7,0,20,0.00
34,2014-07-31,104,67,85.5,8.2,0,21,0.00
