3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-01-01,52,30,41.0,-5.3,24,0,0.00
5,2015-01-02,51,30,40.5,-5.9,24,0,0.00
6,2015-01-03,56,31,43.5,-2.9,21,0,0.00
7,2015-01-04,57,35,46.0,-0.4,19,0,0.00
8,2015-01-05,59,35,47.0,0.5,18,0,0.00
9,2015-01-06,62,37,49.5,3.0,15,0,0.00
10,2015-01-07,66,39,52.5,5.9,12,0,0.00
11,2015-01-08,64,40,52.0,5.4,13,0,0.00
12,2015-01-09,58,45,51.5,4.8,13,0,0.00
13,2015-01-10,65,47,56.0,9.2,9,0,0.00
14,2015-01-11,64,43,53.5,6.7,11,0,0.00
15,2015-01-12,63,44,53.5,6.6,11,0,0.00
16,2015-01-13,60,40,50.0,3.0,15,0,0.00
17,2015-01-14,56,39,47.5,0.4,17,0,0.00
18,2015-01-15,58,41,49.5,2.3,15,0,0.00
19,2015-01-16,54,44,49.0,1.7,16,0,0.00
20,2015-01-17,54,48,51.0,3.6,14,0,0.00
21,2015-01-18,54,46,50.0,2.4,15,0,0.00
22,2015-01-19,56,49,52.5,4.8,12,0,0.01
23,2015-01-20,59,45,52.0,4.2,13,0,0.00
24,2015-01-21,58,43,50.5,2.6,14,0,0.00
25,2015-01-22,55,42,48.5,0.4,16,0,0.00
26,2015-01-23,59,41,50.0,1.8,15,0,0.00
27,2015-01-24,52,44,48.0,-0.4,17,0,0.00
28,2015-01-25,62,42,52.0,3.4,13,0,0.00
29,2015-01-26,65,42,53.5,4.8,11,0,0.00
30,2015-01-27,64,49,56.5,7.6,8,0,0.00
31,2015-01-28,68,46,57.0,7.9,8,0,0.00
32,2015-01-29,69,43,56.0,6.8,9,0,0.00
33,2015-01-30,68,43,55.5,6.1,9,0,0.00
34,2015-01-31,73,47,60.0,10.4,5,0,0.00
