3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2014-04-01,54,44,49.0,-9.2,16,0,1.30
5,2014-04-02,63,44,53.5,-4.9,11,0,0.00
6,2014-04-03,67,44,55.5,-3.0,9,0,0.00
7,2014-04-04,62,49,55.5,-3.1,9,0,0.01
8,2014-04-05,71,43,57.0,-1.8,8,0,0.00
9,2014-04-06,80,47,63.5,4.6,1,0,0.00
10,2014-04-07,83,52,67.5,8.4,0,3,0.00
11,2014-04-08,86,57,71.5,12.2,0,7,0.00
12,2014-04-09,84,58,71.0,11.6,0,6,0.00
13,2014-04-10,86,52,69.0,9.4,0,4,0.00
14,2014-04-11,82,54,68.0,8.2,0,3,0.00
15,2014-04-12,75,49,62.0,2.0,3,0,0.00
16,2014-04-13,83,50,66.5,6.3,0,2,0.00
17,2014-04-14,82,50,66.0,5.6,0,1,0.00
18,2014-04-15,84,53,68.5,7.9,0,4,0.00
19,2014-04-16,85,54,69.5,8.7,0,5,0.00
20,2014-04-17,85,55,70.0,9.0,0,5,0.00
21,2014-04-18,83,58,70.5,9.3,0,6,0.00
22,2014-04-19,78,51,64.5,3.0,0,0,0.00
23,2014-04-20,86,52,69.0,7.3,0,4,0.00
24,2014-04-21,77,54,65.5,3.6,0,1,0.00
25,2014-04-22,72,50,61.0,-1.1,4,0,0.00
26,2014-04-23,74,45,59.5,-2.9,5,0,0.00
27,2014-04-24,74,49,61.5,-1.1,3,0,0.00
28,2014-04-25,59,49,54.0,-8.8,11,0,0.66
29,2014-04-26,65,45,55.0,-8.1,10,0,0.00
30,2014-04-27,69,47,58.0,-5.3,7,0,0.00
31,2014-04-28,78,47,62.5,-1.1,2,0,0.00
32,2014-04-29,89,54,71.5,7.7,0,7,0.00
33,2014-04-30,92,57,74.5,10.5,0,10,0.00
