3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-12-01,59,43,51.0,1.3,14,0,0.32,0.0,0
5,2018-12-02,55,37,46.0,-3.4,19,0,0.00,0.0,0
6,2018-12-03,54,36,45.0,-4.2,20,0,0.00,0.0,0
7,2018-12-04,53,46,49.5,0.5,15,0,0.00,M,0
8,2018-12-05,57,47,52.0,3.2,13,0,0.12,M,0
9,2018-12-06,60,44,52.0,3.5,13,0,0.00,0.0,0
10,2018-12-07,63,40,51.5,3.2,13,0,0.00,0.0,0
11,2018-12-08,61,40,50.5,2.3,14,0,0.00,M,0
12,2018-12-09,53,40,46.5,-1.5,18,0,0.00,0.0,0
13,2018-12-10,60,44,52.0,4.2,13,0,0.00,M,0
14,2018-12-11,59,40,49.5,1.9,15,0,0.00,0.0,0
15,2018-12-12,61,44,52.5,5.0,12,0,0.00,M,0
16,2018-12-13,60,40,50.0,2.6,15,0,0.00,M,0
17,2018-12-14,62,43,52.5,5.3,12,0,0.00,0.0,0
18,2018-12-15,62,45,53.5,6.4,11,0,0.00,0.0,0
19,2018-12-16,59,44,51.5,4.5,13,0,1.17,0.0,0
20,2018-12-17,62,50,56.0,9.1,9,0,0.36,M,0
21,2018-12-18,65,44,54.5,7.7,10,0,0.00,M,0
22,2018-12-19,65,47,56.0,9.3,9,0,0.00,M,0
23,2018-12-20,56,48,52.0,5.4,13,0,0.03,M,0
24,2018-12-21,57,48,52.5,5.9,12,0,0.06,M,0
25,2018-12-22,55,39,47.0,0.5,18,0,0.00,0.0,0
26,2018-12-23,58,46,52.0,5.6,13,0,0.00,M,0
27,2018-12-24,55,49,52.0,5.6,13,0,0.47,M,0
28,2018-12-25,61,44,52.5,6.1,12,0,0.12,M,0
29,2018-12-26,60,38,49.0,2.7,16,0,0.00,M,0
30,2018-12-27,58,39,48.5,2.2,16,0,0.00,0.0,0
31,2018-12-28,56,39,47.5,1.2,17,0,0.00,0.0,0
32,2018-12-29,58,35,46.5,0.2,18,0,0.00,0.0,0
33,2018-12-30,59,37,48.0,1.7,17,0,0.00,M,0
34,2018-12-31,55,41,48.0,1.7,17,0,0.00,M,0
