2,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
3,2018-01-01,65,42,53.5,7.2,11,0,0.00,0.0,0
4,2018-01-02,58,42,50.0,3.6,15,0,0.00,0.0,0
5,2018-01-03,58,44,51.0,4.6,14,0,0.17,0.0,0
6,2018-01-04,66,52,59.0,12.6,6,0,0.28,0.0,0
7,2018-01-05,63,53,58.0,11.5,7,0,0.36,0.0,0
8,2018-01-06,62,46,54.0,7.5,11,0,0.04,0.0,0
9,2018-01-07,52,41,46.5,-0.1,18,0,0.00,0.0,0
10,2018-01-08,58,49,53.5,6.9,11,0,2.38,0.0,0
11,2018-01-09,58,52,55.0,8.3,10,0,1.18,0.0,0
12,2018-01-10,58,46,52.0,5.2,13,0,0.00,0.0,0
13,2018-01-11,62,44,53.0,6.2,12,0,0.00,0.0,0
14,2018-01-12,59,46,52.5,5.6,12,0,0.00,0.0,0
15,2018-01-13,54,46,50.0,3.0,15,0,0.00,0.0,0
16,2018-01-14,55,49,52.0,4.9,13,0,0.00,0.0,0
17,2018-01-15,53,47,50.0,2.8,15,0,0.00,0.0,0
18,2018-01-16,59,47,53.0,5.7,12,0,0.04,0.0,0
19,2018-01-17,56,49,52.5,5.1,12,0,0.00,0.0,0
20,2018-01-18,58,49,53.5,5.9,11,0,0.13,0.0,0
21,2018-01-19,59,45,52.0,4.3,13,0,0.00,0.0,0
22,2018-01-20,57,39,48.0,0.2,17,0,0.00,0.0,0
23,2018-01-21,54,36,45.0,-2.9,20,0,0.01,0.0,0
24,2018-01-22,53,46,49.5,1.4,15,0,0.23,0.0,0
25,2018-01-23,61,46,53.5,5.3,11,0,0.00,0.0,0
26,2018-01-24,54,42,48.0,-0.4,17,0,0.19,0.0,0
27,2018-01-25,55,43,49.0,0.4,16,0,0.06,0.0,0
28,2018-01-26,53,39,46.0,-2.7,19,0,0.00,0.0,0
29,2018-01-27,60,44,52.0,3.1,13,0,0.00,0.0,0
30,2018-01-28,64,39,51.5,2.4,13,0,0.00,0.0,0
31,2018-01-29,59,43,51.0,1.8,14,0,0.00,0.0,0
32,2018-01-30,64,41,52.5,3.1,12,0,0.00,0.0,0
33,2018-01-31,65,41,53.0,3.4,12,0,0.00,0.0,0
