3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2014-03-01,69,51,60.0,4.9,5,0,0.00
5,2014-03-02,62,50,56.0,0.8,9,0,0.18
6,2014-03-03,60,50,55.0,-0.3,10,0,0.12
7,2014-03-04,63,52,57.5,2.0,7,0,0.01
8,2014-03-05,69,54,61.5,5.9,3,0,0.31
9,2014-03-06,70,54,62.0,6.3,3,0,0.01
10,2014-03-07,72,48,60.0,4.2,5,0,0.00
11,2014-03-08,72,47,59.5,3.6,5,0,0.00
12,2014-03-09,71,57,64.0,8.0,1,0,0.00
13,2014-03-10,68,55,61.5,5.4,3,0,0.17
14,2014-03-11,72,48,60.0,3.8,5,0,0.00
15,2014-03-12,76,52,64.0,7.7,1,0,0.00
16,2014-03-13,79,48,63.5,7.1,1,0,0.00
17,2014-03-14,75,48,61.5,5.0,3,0,0.00
18,2014-03-15,81,50,65.5,8.9,0,1,0.00
19,2014-03-16,82,50,66.0,9.3,0,1,0.00
20,2014-03-17,69,48,58.5,1.7,6,0,0.00
21,2014-03-18,72,48,60.0,3.1,5,0,0.00
22,2014-03-19,78,45,61.5,4.6,3,0,0.00
23,2014-03-20,79,51,65.0,8.0,0,0,0.00
24,2014-03-21,78,49,63.5,6.4,1,0,0.00
25,2014-03-22,78,47,62.5,5.3,2,0,0.00
26,2014-03-23,78,48,63.0,5.7,2,0,0.00
27,2014-03-24,82,48,65.0,7.6,0,0,0.00
28,2014-03-25,65,47,56.0,-1.5,9,0,0.00
29,2014-03-26,64,50,57.0,-0.6,8,0,0.25
30,2014-03-27,64,51,57.5,-0.2,7,0,0.00
31,2014-03-28,70,52,61.0,3.2,4,0,0.00
32,2014-03-29,58,51,54.5,-3.4,10,0,0.70
33,2014-03-30,65,44,54.5,-3.5,10,0,0.01
34,2014-03-31,59,44,51.5,-6.6,13,0,0.17
