3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2017-03-01,64,37,50.5,-4.6,14,0,0.00
5,2017-03-02,68,39,53.5,-1.7,11,0,0.00
6,2017-03-03,69,41,55.0,-0.3,10,0,0.00
7,2017-03-04,64,47,55.5,0.0,9,0,0.15
8,2017-03-05,53,42,47.5,-8.1,17,0,0.03
9,2017-03-06,55,42,48.5,-7.2,16,0,0.01
10,2017-03-07,60,39,49.5,-6.3,15,0,0.00
11,2017-03-08,68,42,55.0,-0.9,10,0,0.00
12,2017-03-09,74,46,60.0,4.0,5,0,0.00
13,2017-03-10,72,54,63.0,6.9,2,0,0.00
14,2017-03-11,79,50,64.5,8.3,0,0,0.00
15,2017-03-12,78,51,64.5,8.2,0,0,0.00
16,2017-03-13,78,49,63.5,7.1,1,0,0.00
17,2017-03-14,83,51,67.0,10.5,0,2,0.00
18,2017-03-15,73,55,64.0,7.4,1,0,0.00
19,2017-03-16,77,51,64.0,7.3,1,0,0.00
20,2017-03-17,79,49,64.0,7.2,1,0,0.00
21,2017-03-18,72,56,64.0,7.1,1,0,0.00
22,2017-03-19,75,55,65.0,8.1,0,0,0.00
23,2017-03-20,68,55,61.5,4.5,3,0,0.38
24,2017-03-21,68,53,60.5,3.4,4,0,1.05
25,2017-03-22,62,48,55.0,-2.2,10,0,0.77
26,2017-03-23,65,43,54.0,-3.3,11,0,0.00
27,2017-03-24,56,52,54.0,-3.4,11,0,0.27
28,2017-03-25,67,51,59.0,1.5,6,0,0.00
29,2017-03-26,65,48,56.5,-1.1,8,0,0.08
30,2017-03-27,66,47,56.5,-1.2,8,0,0.00
31,2017-03-28,74,51,62.5,4.7,2,0,0.00
32,2017-03-29,79,50,64.5,6.6,0,0,0.00
33,2017-03-30,68,55,61.5,3.5,3,0,0.02
34,2017-03-31,73,49,61.0,2.9,4,0,0.00
