3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2016-03-01,76,51,63.5,8.4,1,0,0.00
5,2016-03-02,75,50,62.5,7.3,2,0,0.00
6,2016-03-03,68,56,62.0,6.7,3,0,0.00
7,2016-03-04,70,59,64.5,9.0,0,0,0.49
8,2016-03-05,65,55,60.0,4.4,5,0,1.14
9,2016-03-06,63,49,56.0,0.3,9,0,0.32
10,2016-03-07,55,44,49.5,-6.3,15,0,0.39
11,2016-03-08,59,40,49.5,-6.4,15,0,0.00
12,2016-03-09,67,48,57.5,1.5,7,0,0.01
13,2016-03-10,63,55,59.0,2.9,6,0,0.44
14,2016-03-11,58,51,54.5,-1.7,10,0,0.47
15,2016-03-12,59,48,53.5,-2.8,11,0,0.71
16,2016-03-13,57,51,54.0,-2.4,11,0,0.44
17,2016-03-14,65,49,57.0,0.5,8,0,0.11
18,2016-03-15,68,45,56.5,-0.1,8,0,0.00
19,2016-03-16,71,45,58.0,1.3,7,0,0.00
20,2016-03-17,77,48,62.5,5.7,2,0,0.00
21,2016-03-18,76,51,63.5,6.6,1,0,0.00
22,2016-03-19,75,50,62.5,5.6,2,0,0.00
23,2016-03-20,71,51,61.0,4.0,4,0,0.08
24,2016-03-21,65,50,57.5,0.4,7,0,0.04
25,2016-03-22,65,45,55.0,-2.2,10,0,0.00
26,2016-03-23,70,46,58.0,0.7,7,0,0.00
27,2016-03-24,73,47,60.0,2.6,5,0,0.00
28,2016-03-25,75,49,62.0,4.5,3,0,0.00
29,2016-03-26,77,50,63.5,5.9,1,0,0.00
30,2016-03-27,73,53,63.0,5.3,2,0,0.00
31,2016-03-28,63,46,54.5,-3.3,10,0,0.00
32,2016-03-29,68,47,57.5,-0.4,7,0,0.00
33,2016-03-30,73,43,58.0,0.0,7,0,0.00
34,2016-03-31,75,49,62.0,3.9,3,0,0.00
