3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2016-08-01,95,59,77.0,-0.2,0,12,0.00,0.0,0
5,2016-08-02,98,58,78.0,0.8,0,13,0.00,0.0,0
6,2016-08-03,102,63,82.5,5.4,0,18,0.00,0.0,0
7,2016-08-04,87,57,72.0,-5.1,0,7,0.00,0.0,0
8,2016-08-05,87,57,72.0,-5.0,0,7,0.00,0.0,0
9,2016-08-06,90,56,73.0,-4.0,0,8,0.00,0.0,0
10,2016-08-07,94,57,75.5,-1.4,0,11,0.00,0.0,0
11,2016-08-08,95,60,77.5,0.6,0,13,0.00,0.0,0
12,2016-08-09,98,59,78.5,1.7,0,14,0.00,0.0,0
13,2016-08-10,95,61,78.0,1.3,0,13,0.00,0.0,0
14,2016-08-11,97,60,78.5,1.8,0,14,0.00,0.0,0
15,2016-08-12,102,62,82.0,5.4,0,17,0.00,0.0,0
16,2016-08-13,104,64,84.0,7.4,0,19,0.00,0.0,0
17,2016-08-14,103,68,85.5,9.0,0,21,0.00,0.0,0
18,2016-08-15,96,58,77.0,0.6,0,12,0.00,0.0,0
19,2016-08-16,99,59,79.0,2.6,0,14,0.00,0.0,0
20,2016-08-17,98,61,79.5,3.2,0,15,0.00,0.0,0
21,2016-08-18,97,62,79.5,3.2,0,15,0.00,0.0,0
22,2016-08-19,93,63,78.0,1.8,0,13,0.00,0.0,0
23,2016-08-20,95,61,78.0,1.9,0,13,0.00,0.0,0
24,2016-08-21,92,59,75.5,-0.6,0,11,0.00,0.0,0
25,2016-08-22,90,58,74.0,-2.0,0,9,0.00,0.0,0
26,2016-08-23,90,58,74.0,-1.9,0,9,0.00,0.0,0
27,2016-08-24,92,55,73.5,-2.4,0,9,0.00,0.0,0
28,2016-08-25,92,56,74.0,-1.8,0,9,0.00,0.0,0
29,2016-08-26,86,57,71.5,-4.2,0,7,0.00,0.0,0
30,2016-08-27,85,58,71.5,-4.1,0,7,0.00,0.0,0
31,2016-08-28,94,57,75.5,-0.1,0,11,0.00,0.0,0
32,2016-08-29,92,57,74.5,-1.0,0,10,0.00,0.0,0
33,2016-08-30,95,62,78.5,3.1,0,14,0.00,0.0,0
34,2016-08-31,91,62,76.5,1.2,0,12,0.00,0.0,0
