3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-06-01,81,53,67.0,-3.4,0,2,0.00
5,2015-06-02,88,58,73.0,2.4,0,8,0.00
6,2015-06-03,84,58,71.0,0.2,0,6,0.00
7,2015-06-04,88,56,72.0,1.0,0,7,0.00
8,2015-06-05,92,60,76.0,4.9,0,11,0.00
9,2015-06-06,90,58,74.0,2.7,0,9,0.00
10,2015-06-07,97,60,78.5,7.0,0,14,0.00
11,2015-06-08,105,69,87.0,15.3,0,22,0.00
12,2015-06-09,95,71,83.0,11.1,0,18,0.01
13,2015-06-10,72,67,69.5,-2.6,0,5,0.06
14,2015-06-11,98,63,80.5,8.2,0,16,0.00
15,2015-06-12,106,65,85.5,13.0,0,21,0.00
16,2015-06-13,97,62,79.5,6.8,0,15,0.00
17,2015-06-14,88,57,72.5,-0.4,0,8,0.00
18,2015-06-15,87,55,71.0,-2.1,0,6,0.00
19,2015-06-16,96,56,76.0,2.7,0,11,0.00
20,2015-06-17,99,60,79.5,6.0,0,15,0.00
21,2015-06-18,92,60,76.0,2.3,0,11,0.00
22,2015-06-19,96,59,77.5,3.7,0,13,0.00
23,2015-06-20,99,61,80.0,6.0,0,15,0.00
24,2015-06-21,88,57,72.5,-1.7,0,8,0.00
25,2015-06-22,92,58,75.0,0.6,0,10,0.00
26,2015-06-23,97,58,77.5,2.9,0,13,0.00
27,2015-06-24,98,60,79.0,4.2,0,14,0.00
28,2015-06-25,103,67,85.0,10.0,0,20,0.00
29,2015-06-26,104,70,87.0,11.9,0,22,0.00
30,2015-06-27,91,64,77.5,2.2,0,13,0.00
31,2015-06-28,94,66,80.0,4.5,0,15,0.00
32,2015-06-29,101,60,80.5,4.9,0,16,0.00
33,2015-06-30,108,69,88.5,12.7,0,24,0.00
