3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-02-01,68,46,57.0,7.2,8,0,0.00,0.0,0
5,2018-02-02,71,45,58.0,8.0,7,0,0.00,0.0,0
6,2018-02-03,75,45,60.0,9.8,5,0,0.00,0.0,0
7,2018-02-04,74,48,61.0,10.6,4,0,0.00,0.0,0
8,2018-02-05,75,47,61.0,10.4,4,0,0.00,0.0,0
9,2018-02-06,74,47,60.5,9.7,4,0,0.00,0.0,0
10,2018-02-07,72,47,59.5,8.5,5,0,0.00,0.0,0
11,2018-02-08,75,45,60.0,8.8,5,0,0.00,0.0,0
12,2018-02-09,76,45,60.5,9.1,4,0,0.00,0.0,0
13,2018-02-10,67,46,56.5,4.9,8,0,0.00,0.0,0
14,2018-02-11,63,37,50.0,-1.8,15,0,0.00,0.0,0
15,2018-02-12,61,38,49.5,-2.5,15,0,0.00,0.0,0
16,2018-02-13,65,38,51.5,-0.7,13,0,0.00,0.0,0
17,2018-02-14,68,38,53.0,0.6,12,0,0.00,0.0,0
18,2018-02-15,63,40,51.5,-1.1,13,0,0.00,0.0,0
19,2018-02-16,65,36,50.5,-2.3,14,0,0.00,0.0,0
20,2018-02-17,71,40,55.5,2.5,9,0,0.00,0.0,0
21,2018-02-18,63,42,52.5,-0.7,12,0,0.00,0.0,0
22,2018-02-19,53,33,43.0,-10.4,22,0,0.00,0.0,0
23,2018-02-20,55,32,43.5,-10.1,21,0,0.00,0.0,0
24,2018-02-21,57,34,45.5,-8.3,19,0,0.00,0.0,0
25,2018-02-22,56,36,46.0,-7.9,19,0,0.00,0.0,0
26,2018-02-23,55,32,43.5,-10.6,21,0,0.00,0.0,0
27,2018-02-24,60,31,45.5,-8.8,19,0,0.00,0.0,0
28,2018-02-25,65,38,51.5,-3.0,13,0,0.00,0.0,0
29,2018-02-26,51,40,45.5,-9.1,19,0,0.61,T,0
30,2018-02-27,59,38,48.5,-6.3,16,0,0.00,0.0,0
31,2018-02-28,60,35,47.5,-7.4,17,0,0.05,0.0,0
