3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2017-04-01,77,50,63.5,5.3,1,0,0.00
5,2017-04-02,81,52,66.5,8.1,0,2,0.00
6,2017-04-03,77,53,65.0,6.5,0,0,0.00
7,2017-04-04,77,54,65.5,6.9,0,1,0.00
8,2017-04-05,77,55,66.0,7.2,0,1,0.00
9,2017-04-06,64,53,58.5,-0.4,6,0,1.04
10,2017-04-07,62,49,55.5,-3.6,9,0,0.97
11,2017-04-08,56,44,50.0,-9.3,15,0,0.28
12,2017-04-09,65,40,52.5,-6.9,12,0,0.00
13,2017-04-10,71,43,57.0,-2.6,8,0,0.00
14,2017-04-11,70,54,62.0,2.2,3,0,0.00
15,2017-04-12,68,52,60.0,0.0,5,0,0.15
16,2017-04-13,64,47,55.5,-4.7,9,0,0.24
17,2017-04-14,65,42,53.5,-6.9,11,0,0.00
18,2017-04-15,70,44,57.0,-3.6,8,0,0.00
19,2017-04-16,62,51,56.5,-4.3,8,0,0.39
20,2017-04-17,63,55,59.0,-2.0,6,0,0.11
21,2017-04-18,71,53,62.0,0.8,3,0,0.05
22,2017-04-19,71,48,59.5,-2.0,5,0,0.11
23,2017-04-20,72,54,63.0,1.3,2,0,0.02
24,2017-04-21,80,51,65.5,3.6,0,1,0.00
25,2017-04-22,73,51,62.0,-0.1,3,0,0.00
26,2017-04-23,74,50,62.0,-0.4,3,0,0.00
27,2017-04-24,68,54,61.0,-1.6,4,0,0.00
28,2017-04-25,74,51,62.5,-0.3,2,0,0.00
29,2017-04-26,71,56,63.5,0.4,1,0,0.00
30,2017-04-27,78,53,65.5,2.2,0,1,0.00
31,2017-04-28,75,52,63.5,-0.1,1,0,0.00
32,2017-04-29,83,50,66.5,2.7,0,2,0.00
33,2017-04-30,86,52,69.0,5.0,0,4,0.00
