3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-04-01,81,49,65.0,6.8,0,0,0.00,0.0,0
5,2018-04-02,77,52,64.5,6.1,0,0,0.00,0.0,0
6,2018-04-03,80,48,64.0,5.5,1,0,0.00,0.0,0
7,2018-04-04,77,52,64.5,5.9,0,0,0.00,0.0,0
8,2018-04-05,66,53,59.5,0.7,5,0,0.09,0.0,0
9,2018-04-06,62,54,58.0,-0.9,7,0,1.20,0.0,0
10,2018-04-07,70,52,61.0,1.9,4,0,0.45,0.0,0
11,2018-04-08,69,47,58.0,-1.3,7,0,0.00,0.0,0
12,2018-04-09,76,50,63.0,3.6,2,0,0.00,0.0,0
13,2018-04-10,71,53,62.0,2.4,3,0,0.00,0.0,0
14,2018-04-11,64,46,55.0,-4.8,10,0,0.06,0.0,0
15,2018-04-12,65,41,53.0,-7.0,12,0,0.00,0.0,0
16,2018-04-13,72,46,59.0,-1.2,6,0,0.00,0.0,0
17,2018-04-14,79,49,64.0,3.6,1,0,0.00,0.0,0
18,2018-04-15,68,49,58.5,-2.1,6,0,0.00,0.0,0
19,2018-04-16,57,43,50.0,-10.8,15,0,0.65,0.0,0
20,2018-04-17,66,39,52.5,-8.5,12,0,0.00,0.0,0
21,2018-04-18,65,46,55.5,-5.7,9,0,0.00,0.0,0
22,2018-04-19,73,40,56.5,-5.0,8,0,0.00,0.0,0
23,2018-04-20,83,48,65.5,3.8,0,1,0.00,0.0,0
24,2018-04-21,84,51,67.5,5.6,0,3,0.00,0.0,0
25,2018-04-22,87,55,71.0,8.9,0,6,0.00,0.0,0
26,2018-04-23,86,57,71.5,9.1,0,7,0.00,0.0,0
27,2018-04-24,86,56,71.0,8.4,0,6,0.00,0.0,0
28,2018-04-25,85,51,68.0,5.2,0,3,0.00,0.0,0
29,2018-04-26,76,51,63.5,0.4,1,0,0.00,0.0,0
30,2018-04-27,72,50,61.0,-2.3,4,0,0.00,0.0,0
31,2018-04-28,67,48,57.5,-6.1,7,0,0.00,0.0,0
32,2018-04-29,72,47,59.5,-4.3,5,0,0.00,0.0,0
33,2018-04-30,73,49,61.0,-3.0,4,0,0.00,0.0,0
