3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2017-01-01,52,40,46.0,-0.3,19,0,0.00
5,2017-01-02,50,41,45.5,-0.9,19,0,0.17
6,2017-01-03,52,45,48.5,2.1,16,0,0.50
7,2017-01-04,54,47,50.5,4.1,14,0,0.80
8,2017-01-05,49,36,42.5,-4.0,22,0,0.00
9,2017-01-06,46,32,39.0,-7.5,26,0,0.00
10,2017-01-07,58,40,49.0,2.4,16,0,1.10
11,2017-01-08,64,58,61.0,14.4,4,0,1.96
12,2017-01-09,58,50,54.0,7.3,11,0,0.18
13,2017-01-10,55,52,53.5,6.7,11,0,2.16
14,2017-01-11,57,45,51.0,4.2,14,0,0.19
15,2017-01-12,49,42,45.5,-1.4,19,0,0.12
16,2017-01-13,57,38,47.5,0.5,17,0,0.00
17,2017-01-14,50,38,44.0,-3.1,21,0,0.00
18,2017-01-15,51,38,44.5,-2.7,20,0,0.00
19,2017-01-16,52,39,45.5,-1.8,19,0,0.00
20,2017-01-17,47,35,41.0,-6.4,24,0,0.00
21,2017-01-18,49,43,46.0,-1.6,19,0,0.93
22,2017-01-19,58,45,51.5,3.8,13,0,0.42
23,2017-01-20,55,46,50.5,2.7,14,0,0.68
24,2017-01-21,55,45,50.0,2.1,15,0,0.23
25,2017-01-22,58,44,51.0,2.9,14,0,0.37
26,2017-01-23,56,42,49.0,0.8,16,0,0.04
27,2017-01-24,54,39,46.5,-1.9,18,0,0.00
28,2017-01-25,57,36,46.5,-2.1,18,0,0.00
29,2017-01-26,56,41,48.5,-0.2,16,0,0.00
30,2017-01-27,60,36,48.0,-0.9,17,0,0.00
31,2017-01-28,59,37,48.0,-1.1,17,0,0.00
32,2017-01-29,61,36,48.5,-0.7,16,0,0.00
33,2017-01-30,62,37,49.5,0.1,15,0,0.00
34,2017-01-31,60,38,49.0,-0.6,16,0,0.00
