3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
4,2018-07-01,99,64,81.5,5.5,0,17,0.00,0.0,0
5,2018-07-02,91,59,75.0,-1.1,0,10,0.00,0.0,0
6,2018-07-03,87,58,72.5,-3.7,0,8,0.00,0.0,0
7,2018-07-04,79,57,68.0,-8.4,0,3,0.00,0.0,0
8,2018-07-05,93,56,74.5,-2.0,0,10,0.00,0.0,0
9,2018-07-06,95,67,81.0,4.4,0,16,0.00,0.0,0
10,2018-07-07,100,66,83.0,6.3,0,18,0.00,0.0,0
11,2018-07-08,97,64,80.5,3.7,0,16,0.00,0.0,0
12,2018-07-09,101,63,82.0,5.1,0,17,0.00,0.0,0
13,2018-07-10,100,66,83.0,6.0,0,18,0.00,0.0,0
14,2018-07-11,101,63,82.0,4.9,0,17,0.00,0.0,0
15,2018-07-12,98,65,81.5,4.3,0,17,0.00,0.0,0
16,2018-07-13,99,70,84.5,7.3,0,20,0.00,0.0,0
17,2018-07-14,98,66,82.0,4.7,0,17,0.00,0.0,0
18,2018-07-15,96,61,78.5,1.2,0,14,0.00,0.0,0
19,2018-07-16,102,60,81.0,3.6,0,16,0.00,0.0,0
20,2018-07-17,103,62,82.5,5.1,0,18,0.00,0.0,0
21,2018-07-18,105,65,85.0,7.6,0,20,0.00,0.0,0
22,2018-07-19,102,66,84.0,6.5,0,19,0.00,0.0,0
23,2018-07-20,96,66,81.0,3.5,0,16,0.00,0.0,0
24,2018-07-21,97,67,82.0,4.5,0,17,0.00,0.0,0
25,2018-07-22,98,64,81.0,3.5,0,16,0.00,0.0,0
26,2018-07-23,102,65,83.5,6.0,0,19,0.00,0.0,0
27,2018-07-24,104,62,83.0,5.5,0,18,0.00,0.0,0
28,2018-07-25,109,65,87.0,9.5,0,22,0.00,0.0,0
29,2018-07-26,102,65,83.5,6.1,0,19,0.00,0.0,0
30,2018-07-27,97,62,79.5,2.1,0,15,0.00,0.0,0
31,2018-07-28,100,61,80.5,3.1,0,16,0.00,0.0,0
32,2018-07-29,91,62,76.5,-0.8,0,12,0.00,0.0,0
33,2018-07-30,99,62,80.5,3.2,0,16,0.00,0.0,0
34,2018-07-31,97,63,80.0,2.7,0,15,0.00,0.0,0
