3,Date,MaximumTemp,MinimumTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation
4,2015-12-01,62,34,48.0,-1.7,17,0,0.00
5,2015-12-02,58,43,50.5,1.1,14,0,0.00
6,2015-12-03,59,41,50.0,0.8,15,0,0.35
7,2015-12-04,63,43,53.0,4.0,12,0,0.00
8,2015-12-05,59,39,49.0,0.2,16,0,0.00
9,2015-12-06,66,49,57.5,9.0,7,0,0.01
10,2015-12-07,64,51,57.5,9.2,7,0,0.00
11,2015-12-08,54,48,51.0,2.8,14,0,0.00
12,2015-12-09,62,50,56.0,8.0,9,0,0.00
13,2015-12-10,64,50,57.0,9.2,8,0,0.09
14,2015-12-11,60,43,51.5,3.9,13,0,0.03
15,2015-12-12,56,37,46.5,-1.0,18,0,0.00
16,2015-12-13,57,39,48.0,0.6,17,0,0.45
17,2015-12-14,55,35,45.0,-2.2,20,0,0.00
18,2015-12-15,56,37,46.5,-0.6,18,0,0.00
19,2015-12-16,55,34,44.5,-2.5,20,0,0.00
20,2015-12-17,59,39,49.0,2.1,16,0,0.00
21,2015-12-18,59,37,48.0,1.2,17,0,0.39
22,2015-12-19,57,43,50.0,3.3,15,0,0.15
23,2015-12-20,53,40,46.5,-0.1,18,0,0.07
24,2015-12-21,50,47,48.5,1.9,16,0,0.22
25,2015-12-22,64,50,57.0,10.5,8,0,0.02
26,2015-12-23,57,40,48.5,2.1,16,0,0.00
27,2015-12-24,55,37,46.0,-0.4,19,0,0.02
28,2015-12-25,52,33,42.5,-3.9,22,0,0.00
29,2015-12-26,54,35,44.5,-1.8,20,0,0.00
30,2015-12-27,45,30,37.5,-8.8,27,0,0.00
31,2015-12-28,50,36,43.0,-3.3,22,0,0.03
32,2015-12-29,53,31,42.0,-4.3,23,0,0.00
33,2015-12-30,49,34,41.5,-4.8,23,0,0.00
34,2015-12-31,51,31,41.0,-5.3,24,0,0.00
